model,idx,key,gt_type,pred_type,p_rev,axis_signed_deg,axis_unsigned_deg,origin_line_err_m,origin_qstar_err_m,point3d_err_m,point2d_err_frac,mask_iou,z_p_m,radius_m
noproj,12,420693/42445168/7955.844/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0489,3.1648,3.1648,nan,nan,0.2283,0.0108,0.6208,1.6398,0.2241
noproj,13,420693/42445168/7955.944/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0503,3.5087,3.5087,nan,nan,0.1664,0.0135,0.5176,1.5477,0.2234
noproj,14,420693/42445168/7956.044/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0504,2.5899,2.5899,nan,nan,0.2517,0.0190,0.6375,1.5775,0.2087
noproj,15,420693/42445168/7956.144/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0509,3.5682,3.5682,nan,nan,0.2287,0.0084,0.6049,1.5059,0.1492
noproj,16,420693/42445168/7956.244/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0485,2.3380,2.3380,nan,nan,0.4069,0.0215,0.5177,1.5976,0.2058
noproj,17,420693/42445168/7983.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0457,6.4518,6.4518,nan,nan,0.2610,0.0126,0.3404,1.3823,0.1160
noproj,18,420693/42445168/7983.550/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0446,3.9831,3.9831,nan,nan,0.2836,0.0210,0.1815,1.4053,0.1191
noproj,19,420693/42445168/7983.650/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0447,2.4342,2.4342,nan,nan,0.3444,0.0265,0.4273,1.4747,0.1342
noproj,20,420693/42445168/7983.750/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0456,0.9444,0.9444,nan,nan,0.3671,0.0324,0.2034,1.5030,0.1483
noproj,21,420693/42445168/7983.850/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0456,2.2612,2.2612,nan,nan,0.3513,0.0331,0.1635,1.4846,0.1768
noproj,22,420693/42445168/7983.850/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0494,8.1722,8.1722,nan,nan,0.2293,0.0282,0.5445,1.2374,0.0425
noproj,23,420693/42445168/7983.950/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0460,1.4465,1.4465,nan,nan,0.3346,0.0182,0.2377,1.4816,0.1562
noproj,24,420693/42445168/7983.950/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0490,8.7580,8.7580,nan,nan,0.1972,0.0208,0.5676,1.2104,0.0394
noproj,25,420693/42445168/7984.050/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0467,1.9702,1.9702,nan,nan,0.3394,0.0277,0.3678,1.4817,0.1762
noproj,26,420693/42445168/7984.050/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0505,8.6165,8.6165,nan,nan,0.2326,0.0136,0.6446,1.2449,0.0574
noproj,27,420693/42445168/7984.150/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0463,1.4995,1.4995,nan,nan,0.3066,0.0257,0.6801,1.4489,0.1954
noproj,28,420693/42445168/7984.150/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0513,8.3650,8.3650,nan,nan,0.1669,0.0175,0.5336,1.1770,0.0773
noproj,29,420693/42445168/7984.250/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0473,3.0857,3.0857,nan,nan,0.3290,0.0254,0.3736,1.4660,0.1767
noproj,30,420693/42445168/7984.250/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0507,8.5101,8.5101,nan,nan,0.1348,0.0417,0.6007,1.1363,0.0718
noproj,31,420693/42445168/7984.350/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0453,4.5121,4.5121,nan,nan,0.3323,0.0339,0.5198,1.4624,0.1984
noproj,32,420693/42445168/7984.350/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0501,8.5117,8.5117,nan,nan,0.1155,0.0322,0.7357,1.1200,0.0566
noproj,33,420693/42445168/7984.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0453,8.3061,8.3061,nan,nan,0.3552,0.0306,0.5366,1.4772,0.1872
noproj,34,420693/42445168/7984.450/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0510,9.1586,9.1586,nan,nan,0.1647,0.0236,0.6059,1.1717,0.0661
noproj,35,420693/42445168/7984.550/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0461,5.4680,5.4680,nan,nan,0.3040,0.0384,0.5242,1.4117,0.1330
noproj,36,420693/42445168/7984.550/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0499,8.6269,8.6269,nan,nan,0.1434,0.0111,0.6097,1.1431,0.0374
noproj,37,420693/42445168/7984.650/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0436,13.4940,13.4940,nan,nan,0.3938,0.0261,0.2773,1.4847,0.1383
noproj,38,420693/42445168/7984.650/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0488,8.0825,8.0825,nan,nan,0.2128,0.0156,0.6081,1.1931,0.0214
noproj,39,420693/42445168/7984.749/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0454,12.2300,12.2300,nan,nan,0.4057,0.0132,0.3272,1.4657,0.0988
noproj,40,420693/42445168/7984.749/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0485,8.3005,8.3005,nan,nan,0.2347,0.0106,0.5906,1.1901,0.0391
noproj,41,420693/42445168/7984.849/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0435,15.0527,15.0527,nan,nan,0.3605,0.0127,0.4121,1.3996,0.1025
noproj,42,420693/42445168/7984.849/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0491,6.4630,6.4630,nan,nan,0.2605,0.0142,0.6126,1.1936,0.0203
noproj,43,420693/42445168/7984.949/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0443,14.6069,14.6069,nan,nan,0.3244,0.0096,0.3643,1.3308,0.1089
noproj,44,420693/42445168/7985.049/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0479,14.6043,14.6043,nan,nan,0.2554,0.0080,0.4825,1.2337,0.0802
noproj,45,420693/42445168/8018.353/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.8849,20.1881,20.1881,0.1789,0.2012,0.4384,0.1700,0.4848,2.8978,0.2898
noproj,46,420693/42445168/8018.453/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.8995,23.0120,23.0120,0.1795,0.2663,0.8549,0.3303,0.1667,2.8776,0.2722
noproj,47,420693/42445168/8018.553/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9097,23.2109,23.2109,0.1330,0.3252,1.9167,0.7705,0.0000,2.6712,0.3828
noproj,48,420693/42445168/8018.653/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9040,31.1095,31.1095,0.2915,0.7255,1.7576,0.7590,0.0000,2.4334,0.3739
noproj,49,420693/42445168/8018.753/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9169,23.5451,23.5451,0.2523,0.3181,1.8877,0.7557,0.1403,2.7280,0.3278
noproj,50,420693/42445168/8018.853/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9242,16.9951,16.9951,0.1935,0.3901,1.7839,0.7306,0.0000,2.6776,0.4012
noproj,51,420693/42445168/8018.953/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9144,14.4229,14.4229,0.2551,0.3064,0.6017,0.2405,0.4422,2.8010,0.2796
noproj,52,420693/42445168/8025.650/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9315,23.5663,23.5663,0.1961,0.2019,0.1906,0.0396,0.4092,2.8333,0.2649
noproj,53,420693/42445168/8025.750/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9229,71.9342,71.9342,0.2795,1.1851,0.4365,0.1746,0.0417,2.5858,0.8880
noproj,54,420693/42445168/8025.750/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9356,28.5734,28.5734,0.2069,0.2071,0.1259,0.0248,0.2819,2.7457,0.3533
noproj,55,420693/42445168/8025.850/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9114,32.4013,32.4013,0.2026,0.2127,0.2333,0.0455,0.2535,2.8613,0.1929
noproj,56,420693/42445168/8025.850/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9395,24.3336,24.3336,0.2447,0.2576,0.2537,0.0159,0.2651,2.8411,0.2767
noproj,57,420693/42445168/8025.950/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9063,31.7167,31.7167,0.1993,0.2046,0.2200,0.0456,0.2500,2.8056,0.1687
noproj,58,420693/42445168/8025.950/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9417,21.8636,21.8636,0.2586,0.2718,0.2673,0.0172,0.2609,2.8080,0.2947
noproj,59,420693/42445168/8026.050/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9224,27.8856,27.8856,0.2017,0.2024,0.2470,0.0489,0.2518,2.7956,0.1725
noproj,60,420693/42445168/8026.050/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9425,20.7651,20.7651,0.2750,0.2930,0.2818,0.0300,0.4766,2.7825,0.2821
noproj,61,420693/42445168/8026.150/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9274,26.7991,26.7991,0.2288,0.2293,0.2835,0.0528,0.2980,2.7899,0.1988
noproj,62,420693/42445168/8026.150/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9442,20.6751,20.6751,0.2938,0.3073,0.3018,0.0359,0.6025,2.7552,0.2917
noproj,63,420693/42445168/8026.150/bfae3b6c-30bc-4f5a-933a-3ad7b03a2740,0,0,0.0387,6.1336,6.1336,nan,nan,0.2878,0.0207,0.5397,1.8902,0.2996
noproj,64,420693/42445168/8026.250/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9358,29.8083,29.8083,0.0964,0.1490,0.1271,0.0589,0.3996,2.4983,0.3532
noproj,65,420693/42445168/8026.250/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9413,28.9110,28.9110,0.3171,0.3176,0.0965,0.0311,0.6860,2.4820,0.4490
noproj,66,420693/42445168/8026.250/bfae3b6c-30bc-4f5a-933a-3ad7b03a2740,0,0,0.0393,4.5722,4.5722,nan,nan,0.3212,0.0212,0.5689,1.8716,0.3199
noproj,67,420693/42445168/8026.350/5c4018df-0a9d-4fed-8eb9-9893ee9b801a,1,1,0.9535,6.9898,6.9898,0.0554,0.0748,0.0905,0.0134,0.3594,1.7498,0.3436
noproj,68,420693/42445168/8026.350/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9333,19.3225,19.3225,0.1879,0.1912,0.2360,0.0596,0.2105,2.6167,0.2177
noproj,69,420693/42445168/8026.350/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9449,16.8578,16.8578,0.2386,0.2586,0.2666,0.0023,0.4544,2.5802,0.3169
noproj,70,420693/42445168/8026.350/bfae3b6c-30bc-4f5a-933a-3ad7b03a2740,0,0,0.0384,9.1723,9.1723,nan,nan,0.2645,0.0185,0.5000,1.7656,0.2400
noproj,71,420693/42445168/8026.450/5c4018df-0a9d-4fed-8eb9-9893ee9b801a,1,1,0.9521,8.1982,8.1982,0.0708,0.0808,0.1109,0.0170,0.2691,1.6744,0.3453
noproj,72,420693/42445168/8026.450/bfae3b6c-30bc-4f5a-933a-3ad7b03a2740,0,0,0.0476,4.0257,4.0257,nan,nan,0.4138,0.0255,0.4566,1.8496,0.3153
noproj,73,420693/42445168/8026.550/5c4018df-0a9d-4fed-8eb9-9893ee9b801a,1,1,0.9516,9.4040,9.4040,0.0543,0.0686,0.1101,0.0153,0.2360,1.6302,0.3240
noproj,74,420693/42445168/8026.550/8c9b1b0d-2687-4230-a567-95f50effe7b5,0,0,0.0642,70.3161,70.3161,nan,nan,0.3062,0.0313,0.1616,1.9367,0.0643
noproj,75,420693/42445168/8026.550/bfae3b6c-30bc-4f5a-933a-3ad7b03a2740,0,0,0.0413,11.0275,11.0275,nan,nan,0.2608,0.0169,0.5129,1.6546,0.2100
noproj,76,420693/42445168/8026.649/5c4018df-0a9d-4fed-8eb9-9893ee9b801a,1,1,0.9511,9.3976,9.3976,0.0583,0.0707,0.0957,0.0129,0.2481,1.5914,0.3411
noproj,77,420693/42445168/8026.649/8c9b1b0d-2687-4230-a567-95f50effe7b5,0,0,0.0677,68.1038,68.1038,nan,nan,0.3921,0.0271,0.2309,1.9570,0.0565
noproj,78,420693/42445168/8026.649/bfae3b6c-30bc-4f5a-933a-3ad7b03a2740,0,0,0.0459,8.2420,8.2420,nan,nan,0.2886,0.0190,0.6685,1.6254,0.2309
noproj,79,420693/42445168/8026.749/5c4018df-0a9d-4fed-8eb9-9893ee9b801a,1,1,0.9503,10.2060,10.2060,0.0417,0.0612,0.0644,0.0204,0.2080,1.5757,0.3549
noproj,80,420693/42445168/8026.749/8c9b1b0d-2687-4230-a567-95f50effe7b5,0,0,0.0676,72.7088,72.7088,nan,nan,0.4241,0.0318,0.1938,1.9203,0.0665
noproj,81,420693/42445168/8026.749/bfae3b6c-30bc-4f5a-933a-3ad7b03a2740,0,0,0.0455,8.0831,8.0831,nan,nan,0.2769,0.0218,0.6270,1.5545,0.2014
noproj,82,420693/42445168/8026.849/5c4018df-0a9d-4fed-8eb9-9893ee9b801a,1,1,0.9506,10.0256,10.0256,0.0322,0.0561,0.0475,0.0247,0.2195,1.5532,0.3545
noproj,83,420693/42445168/8026.849/8c9b1b0d-2687-4230-a567-95f50effe7b5,0,0,0.0695,63.9638,63.9638,nan,nan,0.4898,0.0223,0.2692,1.9290,0.1105
noproj,84,420693/42445168/8026.949/5c4018df-0a9d-4fed-8eb9-9893ee9b801a,1,1,0.9512,10.8841,10.8841,0.0430,0.0549,0.0443,0.0273,0.1729,1.5137,0.3461
noproj,85,420693/42445168/8026.949/8c9b1b0d-2687-4230-a567-95f50effe7b5,0,0,0.0604,66.7028,66.7028,nan,nan,0.5035,0.0197,0.2569,1.8774,0.0505
noproj,86,420693/42445168/8027.549/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9425,15.0366,15.0366,0.2558,0.3098,0.2957,0.0097,0.4689,2.1092,0.2766
noproj,87,420693/42445168/8027.549/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9494,15.0924,15.0924,0.2773,0.2954,0.3393,0.0260,0.6337,2.0170,0.3172
noproj,88,420693/42445168/8027.649/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9425,7.9417,7.9417,0.2484,0.3067,0.2893,0.0079,0.4434,2.0680,0.2768
noproj,89,420693/42445168/8027.649/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9488,13.1659,13.1659,0.2684,0.2937,0.3305,0.0109,0.6523,1.9668,0.3206
noproj,90,420693/42445168/8027.749/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9477,8.4065,8.4065,0.2344,0.2799,0.2605,0.0172,0.2600,2.0320,0.3115
noproj,91,420693/42445168/8027.749/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9494,14.0102,14.0102,0.2341,0.2656,0.2738,0.0393,0.5549,1.9146,0.2884
noproj,92,420693/42445168/8027.849/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9454,8.4242,8.4242,0.2917,0.3571,0.3451,0.0183,0.2472,2.0655,0.2960
noproj,93,420693/42445168/8027.849/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9497,13.6538,13.6538,0.3192,0.3534,0.3655,0.0482,0.6809,1.9582,0.2947
noproj,94,420693/42445168/8027.949/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9453,7.3426,7.3426,0.3143,0.3732,0.3782,0.0130,0.3495,2.0388,0.2854
noproj,95,420693/42445168/8027.949/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9494,12.9520,12.9520,0.3048,0.3284,0.3607,0.0252,0.7339,1.8909,0.3417
noproj,96,420693/42445168/8028.049/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9443,6.5912,6.5912,0.3375,0.3964,0.4053,0.0197,0.3564,2.0286,0.2649
noproj,97,420693/42445168/8028.049/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9488,13.6484,13.6484,0.2963,0.3270,0.3530,0.0278,0.6400,1.8485,0.3085
noproj,98,420693/42445168/8028.149/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9461,4.4852,4.4852,0.3169,0.3746,0.3927,0.0230,0.3211,1.9731,0.2840
noproj,99,420693/42445168/8028.149/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9488,12.7864,12.7864,0.3106,0.3391,0.3642,0.0289,0.6269,1.8204,0.3241
noproj,100,420693/42445168/8028.249/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9453,7.7070,7.7070,0.3677,0.4188,0.4492,0.0270,0.2120,1.9898,0.2754
noproj,101,420693/42445168/8028.249/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9497,14.1475,14.1475,0.3396,0.3711,0.3944,0.0240,0.6307,1.8140,0.3250
noproj,102,420693/42445168/8028.349/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9458,8.9182,8.9182,0.3647,0.4161,0.4325,0.0237,0.2562,1.9546,0.2834
noproj,103,420693/42445168/8028.349/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9499,14.1738,14.1738,0.3802,0.4148,0.4482,0.0354,0.6985,1.8476,0.3338
noproj,104,420693/42445168/8028.449/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9427,6.9289,6.9289,0.2859,0.3435,0.3590,0.0262,0.2378,1.8584,0.2438
noproj,105,420693/42445168/8028.449/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9490,14.1348,14.1348,0.3195,0.3474,0.3809,0.0470,0.6661,1.7602,0.2982
noproj,106,420693/42445168/8028.549/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9469,4.9785,4.9785,0.2734,0.3211,0.3521,0.0319,0.1441,1.8381,0.2482
noproj,107,420693/42445168/8028.549/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9499,11.8592,11.8592,0.2176,0.2356,0.2550,0.0239,0.5826,1.6185,0.3061
noproj,108,420693/42445168/8028.649/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9451,4.0267,4.0267,0.2709,0.3063,0.3458,0.0322,0.1472,1.8116,0.2608
noproj,109,420693/42445168/8028.649/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9468,13.5121,13.5121,0.2476,0.2719,0.3006,0.0170,0.5404,1.6324,0.3162
noproj,110,420693/42445168/8028.749/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9418,4.8603,4.8603,0.1575,0.1912,0.2231,0.0347,0.1240,1.6601,0.2514
noproj,111,420693/42445168/8028.749/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9488,13.2493,13.2493,0.2133,0.2316,0.2526,0.0197,0.4291,1.5463,0.3175
noproj,112,420693/42445168/8028.849/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9367,5.9553,5.9553,0.1807,0.2040,0.2384,0.0356,0.1812,1.6470,0.2229
noproj,113,420693/42445168/8028.849/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9474,11.0992,11.0992,0.2104,0.2355,0.2405,0.0181,0.4092,1.4992,0.3052
noproj,114,420693/42445168/8028.949/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9226,3.2156,3.2156,0.1804,0.2356,0.2441,0.0422,0.1825,1.6293,0.2314
noproj,115,420693/42445168/8028.949/6bed72dd-560e-4a8b-9514-f3947aebde36,1,1,0.9366,9.2602,9.2602,0.2233,0.2503,0.2352,0.0038,0.6042,1.4729,0.3216
noproj,116,420693/42445168/8029.049/60b855c3-a87a-4add-9616-1e56c6b07836,1,1,0.9163,6.5188,6.5188,0.1758,0.2230,0.2487,0.0331,0.2545,1.6006,0.2252
noproj,117,420693/42445168/8029.049/df28757e-d9cf-43e7-9ac1-709bc6abe476,1,1,0.9313,45.1427,45.1427,0.9177,1.0544,0.7213,0.3732,0.0182,1.6021,0.2042
noproj,118,420693/42445168/8029.148/df28757e-d9cf-43e7-9ac1-709bc6abe476,1,1,0.9505,167.2632,12.7368,0.3886,0.5287,0.3274,0.0838,0.0181,2.0475,0.3534
noproj,119,420693/42445168/8029.248/df28757e-d9cf-43e7-9ac1-709bc6abe476,1,1,0.9535,167.0182,12.9818,0.3769,0.4956,0.5117,0.0842,0.0504,2.2346,0.2925
noproj,120,420693/42445168/8029.348/df28757e-d9cf-43e7-9ac1-709bc6abe476,1,1,0.9522,168.4870,11.5130,0.3647,0.4551,0.5943,0.0674,0.0549,2.2869,0.2422
noproj,121,420693/42445168/8029.748/df28757e-d9cf-43e7-9ac1-709bc6abe476,1,1,0.9509,135.3390,44.6610,0.2859,0.3685,0.4339,0.0704,0.0281,2.0987,0.0921
noproj,122,420693/42445168/8029.848/df28757e-d9cf-43e7-9ac1-709bc6abe476,1,1,0.9535,164.9605,15.0395,0.4113,0.4701,0.5813,0.0501,0.0643,2.2435,0.2526
noproj,123,420693/42445168/8029.948/df28757e-d9cf-43e7-9ac1-709bc6abe476,1,1,0.9541,165.3320,14.6680,0.3788,0.4303,0.5731,0.0346,0.0479,2.2743,0.1886
noproj,124,420693/42445168/8030.048/df28757e-d9cf-43e7-9ac1-709bc6abe476,1,1,0.9552,167.2067,12.7933,0.3762,0.4254,0.5235,0.0514,0.0324,2.2525,0.1991
noproj,125,420693/42445168/8030.148/1d54d368-d1f7-4a3a-be77-4132ef017919,1,1,0.9446,157.7386,22.2614,0.4374,0.4586,0.5653,0.0314,0.0000,2.3051,0.1035
noproj,126,420693/42445168/8030.148/df28757e-d9cf-43e7-9ac1-709bc6abe476,1,1,0.9543,168.6684,11.3316,0.3501,0.3928,0.4905,0.0762,0.0613,2.2437,0.2187
noproj,127,420693/42445168/8030.248/1d54d368-d1f7-4a3a-be77-4132ef017919,1,1,0.9525,19.5288,19.5288,0.4646,0.4817,0.4067,0.0269,0.0000,2.1412,0.2909
noproj,128,420693/42445168/8030.248/df28757e-d9cf-43e7-9ac1-709bc6abe476,1,1,0.9552,4.3837,4.3837,0.2652,0.4656,0.4686,0.1484,0.0438,2.1457,0.1826
noproj,129,420693/42445168/8030.348/1d54d368-d1f7-4a3a-be77-4132ef017919,1,1,0.9451,5.8982,5.8982,0.4290,0.4309,0.3062,0.0408,0.0000,2.0593,0.3624
noproj,130,420693/42445168/8030.348/df28757e-d9cf-43e7-9ac1-709bc6abe476,1,1,0.9478,35.8683,35.8683,0.2797,0.3576,0.4205,0.0886,0.0675,2.1676,0.1493
noproj,131,420693/42445168/8030.448/1d54d368-d1f7-4a3a-be77-4132ef017919,1,1,0.9463,21.4334,21.4334,0.4324,0.4326,0.3810,0.0254,0.0000,2.1440,0.2876
noproj,132,420693/42445168/8030.448/df28757e-d9cf-43e7-9ac1-709bc6abe476,1,1,0.9547,4.9126,4.9126,0.2231,0.4538,0.7257,0.2840,0.0000,2.0674,0.2035
noproj,133,420693/42445168/8030.548/1d54d368-d1f7-4a3a-be77-4132ef017919,1,1,0.9459,24.4351,24.4351,0.3207,0.3426,0.2540,0.0242,0.0000,2.0005,0.2848
noproj,134,420693/42445168/8030.548/df28757e-d9cf-43e7-9ac1-709bc6abe476,1,1,0.9500,7.9597,7.9597,0.1986,0.2988,0.6214,0.2433,0.0382,2.0263,0.1925
noproj,135,420693/42445168/8030.648/1d54d368-d1f7-4a3a-be77-4132ef017919,1,1,0.9457,6.7233,6.7233,0.3297,0.3749,0.0645,0.0315,0.0091,1.7464,0.6246
noproj,136,420693/42445168/8030.648/df28757e-d9cf-43e7-9ac1-709bc6abe476,1,1,0.9471,0.4428,0.4428,0.1984,0.3201,0.4876,0.1860,0.0000,1.9922,0.2180
noproj,137,420693/42445168/8030.748/1d54d368-d1f7-4a3a-be77-4132ef017919,1,1,0.9464,10.7391,10.7391,0.4393,0.4695,0.2271,0.0402,0.0511,1.9425,0.5244
noproj,138,420693/42445168/8030.748/df28757e-d9cf-43e7-9ac1-709bc6abe476,1,1,0.9476,8.7657,8.7657,0.1881,0.3104,0.5054,0.2004,0.0420,1.9468,0.2238
noproj,139,420693/42445168/8030.848/1d54d368-d1f7-4a3a-be77-4132ef017919,1,1,0.9415,10.6117,10.6117,0.3515,0.3816,0.1426,0.0427,0.0125,1.8345,0.5181
noproj,140,420693/42445168/8030.848/df28757e-d9cf-43e7-9ac1-709bc6abe476,1,1,0.9472,7.7374,7.7374,0.1947,0.3451,0.4202,0.1591,0.0000,1.9255,0.2193
noproj,141,420693/42445168/8030.948/1d54d368-d1f7-4a3a-be77-4132ef017919,1,1,0.9417,10.9733,10.9733,0.3610,0.3935,0.1523,0.0517,0.0039,1.8198,0.5348
