model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p,verb,hinge_point_offset_frac
noproj,laptop/laptop,46.735,46.735,0.9541,0.2154,0.0401,1.161,close,0.2170
noproj,laptop/laptop,10.040,169.960,0.9494,0.1690,0.1164,1.217,open,0.1665
noproj,laptop/laptop,82.585,97.415,0.9464,0.3066,0.1139,1.282,close,0.2995
noproj,laptop/laptop,37.208,142.792,0.9450,0.1142,0.1499,1.218,open,0.3075
noproj,laptop/laptop,54.468,54.468,0.9506,0.1769,0.0171,1.289,close,0.2474
noproj,laptop/laptop,52.611,127.389,0.9481,0.2599,0.2562,1.189,open,0.2306
noproj,laptop/laptop,63.220,116.780,0.9461,0.1944,0.2897,1.100,open,0.3401
noproj,laptop/laptop,64.136,64.136,0.9596,0.2622,0.0488,1.001,close,0.2003
noproj,laptop/laptop,68.706,111.294,0.9479,0.3251,0.1124,1.169,open,0.1903
noproj,laptop/laptop,80.737,99.263,0.9471,0.3206,0.1269,1.247,close,0.3152
noproj,microwave/microwave,56.406,56.406,0.9495,0.1417,0.0980,1.628,open,0.1991
noproj,microwave/microwave,54.993,125.007,0.9539,0.2055,0.2468,1.415,close,0.2211
noproj,microwave/microwave,59.943,59.943,0.9488,0.1495,0.1768,1.556,open,0.2154
noproj,microwave/microwave,55.495,124.505,0.9565,0.2184,0.2484,1.338,close,0.2062
noproj,microwave/microwave,54.728,125.272,0.9460,0.2562,0.1052,1.269,close,0.1271
noproj,microwave/microwave,57.548,57.548,0.9476,0.1660,0.0433,1.494,open,0.1754
noproj,microwave/microwave,53.173,126.827,0.9556,0.2359,0.1937,1.312,close,0.1747
noproj,microwave/microwave,58.954,58.954,0.9501,0.1492,0.1976,1.481,open,0.2032
noproj,microwave/microwave,51.847,128.153,0.9564,0.2076,0.2501,1.334,close,0.2414
noproj,microwave/microwave,61.568,61.568,0.9410,0.1584,0.1076,1.663,open,0.2323
noproj,microwave/microwave,53.125,126.875,0.9533,0.1942,0.2342,1.352,close,0.2473
noproj,microwave/microwave,58.230,58.230,0.9472,0.1745,0.1461,1.542,open,0.1727
noproj,microwave/microwave,55.059,124.941,0.9524,0.2191,0.2327,1.364,close,0.2103
noproj,microwave/microwave,58.399,58.399,0.9461,0.2816,0.0589,1.488,open,0.2469
noproj,microwave/microwave,43.689,136.311,0.9158,0.3179,0.0271,1.292,close,0.1646
noproj,microwave/microwave,65.624,65.624,0.9530,0.2698,0.1133,1.467,open,0.2380
noproj,microwave/microwave,58.458,121.542,0.9477,0.2338,0.1569,1.227,close,0.2304
noproj,microwave/microwave,64.746,64.746,0.9410,0.2133,0.0808,1.484,open,0.1901
noproj,microwave/microwave,46.720,133.280,0.9525,0.2743,0.1981,1.237,close,0.2544
noproj,microwave/microwave,56.348,123.652,0.9548,0.2478,0.1321,1.385,close,0.1877
noproj,microwave/microwave,55.080,55.080,0.9503,0.1272,0.0771,1.617,open,0.1953
noproj,microwave/microwave,46.734,133.266,0.9554,0.2033,0.2394,1.365,close,0.2346
noproj,microwave/microwave,57.143,57.143,0.9491,0.1228,0.1571,1.606,open,0.2095
noproj,microwave/microwave,47.860,132.140,0.9572,0.1978,0.2404,1.315,close,0.2557
noproj,microwave/microwave,54.617,54.617,0.9499,0.1232,0.1485,1.606,open,0.1983
noproj,microwave/microwave,52.526,127.474,0.9481,0.1907,0.1882,1.391,close,0.1501
noproj,microwave/microwave,50.697,50.697,0.9498,0.1764,0.1078,1.510,open,0.1677
noproj,microwave/microwave,48.433,131.567,0.9502,0.1994,0.2082,1.362,close,0.1919
noproj,microwave/microwave,54.553,54.553,0.8896,0.1827,0.0427,1.782,open,0.1490
noproj,microwave/microwave,34.482,145.518,0.8929,0.2817,0.0041,1.211,close,0.1647
noproj,microwave/microwave,50.517,129.483,0.9481,0.2701,0.1271,1.271,close,0.1625
noproj,notebook/notebook,28.940,28.940,0.9480,0.1350,0.0519,0.946,open,0.1097
noproj,notebook/notebook,34.532,145.468,0.9514,0.2491,0.1024,0.794,close,0.4529
noproj,notebook/notebook,77.508,77.508,0.9449,0.0837,0.0041,0.922,open,0.4254
noproj,notebook/notebook,11.652,11.652,0.9476,0.3148,0.0385,0.822,close,0.0290
noproj,notebook/notebook,72.302,107.698,0.9447,0.2706,0.1168,0.999,open,0.1796
noproj,notebook/notebook,56.549,123.451,0.9391,0.2839,0.0355,0.890,close,0.1928
noproj,notebook/notebook,27.205,152.795,0.9480,0.1807,0.2332,0.984,open,0.2632
noproj,notebook/notebook,59.648,120.352,0.9467,0.1605,0.1443,1.027,open,0.1786
noproj,notebook/notebook,88.792,88.792,0.9519,0.1857,0.0432,0.897,close,0.2796
noproj,notebook/notebook,20.475,20.475,0.9474,0.2145,0.2093,0.917,open,0.2913
noproj,notebook/notebook,70.697,70.697,0.9416,0.1990,0.0740,1.152,open,0.2432
noproj,notebook/notebook,77.537,102.463,0.9557,0.1619,0.0196,0.839,close,0.1161
noproj,notebook/notebook,87.934,92.066,0.9578,0.1429,0.0186,0.823,close,0.1069
noproj,notebook/notebook,14.879,14.879,0.9532,0.0902,0.0234,0.989,open,0.1033
noproj,notebook/notebook,43.002,136.998,0.9542,0.1831,0.1080,0.881,close,0.1789
noproj,notebook/notebook,67.805,112.195,0.9465,0.2946,0.1711,0.940,open,0.4553
noproj,phone/phone,72.684,107.316,0.9536,0.2927,0.1665,1.000,close,0.2894
noproj,phone/phone,52.103,52.103,0.9370,0.1264,0.0751,1.127,open,0.0303
noproj,phone/phone,78.497,78.497,0.9507,0.2928,0.1789,1.005,close,0.3318
noproj,phone/phone,70.164,109.836,0.9472,0.3240,0.0457,1.098,open,0.0474
noproj,phone/phone,57.319,57.319,0.9530,0.2857,0.1211,1.014,close,0.2931
noproj,phone/phone,58.834,58.834,0.9470,0.1601,0.0143,1.111,open,0.1673
noproj,phone/phone,49.101,49.101,0.9473,0.3419,0.0469,0.844,close,0.3251
noproj,phone/phone,67.975,112.025,0.9477,0.2184,0.0909,0.947,open,0.2384
noproj,phone/phone,86.214,86.214,0.9528,0.2802,0.0924,0.934,close,0.2993
noproj,phone/phone,52.484,127.516,0.9474,0.2369,0.1560,1.062,open,0.1589
noproj,phone/phone,43.915,43.915,0.9450,0.2628,0.1704,0.919,close,0.2800
noproj,phone/phone,83.814,96.186,0.9471,0.2841,0.1270,1.097,open,0.1399
noproj,phone/phone,66.441,66.441,0.9443,0.2413,0.1093,1.044,close,0.3274
noproj,phone/phone,73.682,73.682,0.9435,0.1303,0.0451,1.055,open,0.0870
noproj,phone/phone,78.625,78.625,0.9474,0.2023,0.1438,1.016,close,0.1146
noproj,phone/phone,58.972,58.972,0.9453,0.1642,0.0205,1.053,open,0.0786
noproj,phone/phone,40.963,40.963,0.9483,0.2596,0.2160,0.913,close,0.2910
noproj,phone/phone,76.355,76.355,0.9471,0.2930,0.0507,1.267,open,0.0489
noproj,espressomachine/espressomachine,31.426,148.574,0.9432,0.1404,0.2406,1.103,open,0.2883
noproj,espressomachine/espressomachine,27.205,27.205,0.9397,0.2282,0.1593,0.962,close,0.1681
noproj,espressomachine/espressomachine,35.791,144.209,0.9414,0.1305,0.2108,1.050,open,0.3078
noproj,espressomachine/espressomachine,39.423,39.423,0.9394,0.2654,0.1561,1.025,close,0.2016
noproj,espressomachine/espressomachine,27.941,152.059,0.9424,0.1685,0.2694,0.993,open,0.3040
noproj,espressomachine/espressomachine,56.994,56.994,0.9362,0.2469,0.1284,1.013,close,0.1997
noproj,espressomachine/espressomachine,23.215,156.785,0.9410,0.1675,0.2528,0.914,open,0.2737
noproj,espressomachine/espressomachine,81.897,81.897,0.9442,0.2601,0.2841,0.989,close,0.2618
noproj,espressomachine/espressomachine,33.505,146.495,0.9401,0.1859,0.2511,1.002,open,0.2820
noproj,espressomachine/espressomachine,49.498,49.498,0.9374,0.2517,0.1040,0.913,close,0.1442
noproj,espressomachine/espressomachine,34.842,145.158,0.9383,0.1288,0.2000,1.002,open,0.3136
noproj,espressomachine/espressomachine,47.745,47.745,0.9391,0.2848,0.1475,1.021,close,0.2377
noproj,espressomachine/espressomachine,22.910,157.090,0.9402,0.1680,0.2615,1.041,open,0.2608
noproj,espressomachine/espressomachine,43.188,43.188,0.9412,0.2834,0.1647,1.026,close,0.2346
noproj,espressomachine/espressomachine,33.349,146.651,0.9394,0.1766,0.1612,1.090,open,0.2070
noproj,espressomachine/espressomachine,26.524,26.524,0.9431,0.2522,0.2014,0.955,close,0.1975
noproj,espressomachine/espressomachine,40.611,139.389,0.9429,0.1209,0.1544,1.013,open,0.3238
noproj,espressomachine/espressomachine,39.454,39.454,0.9417,0.2800,0.1669,0.962,close,0.1709
noproj,espressomachine/espressomachine,31.001,148.999,0.9410,0.1527,0.2553,0.996,open,0.2940
noproj,espressomachine/espressomachine,46.676,46.676,0.9369,0.2820,0.1631,1.041,close,0.2389
noproj,espressomachine/espressomachine,33.191,146.809,0.9392,0.0770,0.1696,1.022,open,0.3245
noproj,espressomachine/espressomachine,38.674,38.674,0.9424,0.2646,0.1546,1.012,close,0.1893
noproj,espressomachine/espressomachine,30.433,149.567,0.9417,0.1443,0.2346,0.996,open,0.2861
noproj,espressomachine/espressomachine,34.395,34.395,0.9426,0.2925,0.1435,0.991,close,0.1458
noproj,espressomachine/espressomachine,24.651,155.349,0.9407,0.1662,0.2462,1.038,open,0.2349
noproj,espressomachine/espressomachine,42.063,42.063,0.9344,0.2659,0.1381,1.004,close,0.2168
noproj,espressomachine/espressomachine,31.083,148.917,0.9399,0.1694,0.2305,1.040,open,0.2269
noproj,espressomachine/espressomachine,46.895,46.895,0.9399,0.2868,0.1479,0.982,close,0.2046
noproj,espressomachine/espressomachine,27.497,152.503,0.9407,0.1929,0.2367,1.014,open,0.2269
noproj,espressomachine/espressomachine,42.156,42.156,0.9423,0.3278,0.1442,0.951,close,0.1582
noproj,espressomachine/espressomachine,38.012,141.988,0.9427,0.2156,0.1780,1.037,open,0.1791
noproj,espressomachine/espressomachine,47.857,47.857,0.9400,0.2834,0.1470,1.012,close,0.2096
noproj,espressomachine/espressomachine,30.214,149.786,0.9408,0.1575,0.2627,1.036,open,0.2824
noproj,espressomachine/espressomachine,43.029,43.029,0.9429,0.2537,0.2046,0.981,close,0.2165
noproj,espressomachine/espressomachine,31.294,148.706,0.9402,0.1810,0.2808,1.035,open,0.2787
noproj,espressomachine/espressomachine,34.980,34.980,0.9413,0.3099,0.2005,0.876,close,0.1816
noproj,espressomachine/espressomachine,31.252,148.748,0.9410,0.2146,0.2702,1.014,open,0.2498
noproj,espressomachine/espressomachine,24.026,155.974,0.9384,0.1622,0.2793,0.979,open,0.2634
noproj,espressomachine/espressomachine,38.349,38.349,0.9391,0.2554,0.1533,1.023,close,0.2138
noproj,espressomachine/espressomachine,27.965,152.035,0.9421,0.1277,0.2455,1.077,open,0.2858
noproj,phone/phone,84.401,84.401,0.9494,0.3020,0.0679,1.013,close,0.1997
noproj,phone/phone,81.723,98.277,0.9498,0.3131,0.1173,1.110,open,0.1134
noproj,phone/phone,71.176,71.176,0.9411,0.3559,0.0124,0.952,close,0.1798
noproj,phone/phone,88.594,91.406,0.9471,0.2431,0.0790,1.147,open,0.0439
noproj,phone/phone,63.462,116.538,0.9426,0.4161,0.0897,0.850,close,0.1952
noproj,phone/phone,81.392,98.608,0.9518,0.2922,0.1420,1.076,open,0.1383
noproj,phone/phone,74.463,74.463,0.9457,0.3311,0.0139,0.922,close,0.1999
noproj,phone/phone,78.266,101.734,0.9516,0.3176,0.1592,1.089,open,0.1188
noproj,phone/phone,16.152,16.152,0.9455,0.2840,0.1509,1.034,close,0.1385
noproj,phone/phone,81.896,98.104,0.9488,0.2318,0.0374,1.128,open,0.0510
noproj,phone/phone,87.398,92.602,0.9445,0.3436,0.0751,0.868,close,0.2782
noproj,phone/phone,89.981,90.019,0.9558,0.3062,0.0372,1.248,open,0.0763
noproj,phone/phone,41.105,41.105,0.9489,0.2399,0.1131,0.985,close,0.2052
noproj,phone/phone,71.278,108.722,0.9497,0.2401,0.1640,1.012,open,0.1076
noproj,phone/phone,85.675,94.325,0.9398,0.3223,0.0400,0.882,close,0.1369
noproj,phone/phone,86.938,93.062,0.9510,0.2866,0.1452,1.042,open,0.0812
noproj,phone/phone,63.996,63.996,0.9480,0.3110,0.1408,0.936,close,0.3574
noproj,phone/phone,88.339,91.661,0.9500,0.3174,0.1263,1.093,open,0.0831
noproj,phone/phone,79.064,79.064,0.9437,0.3600,0.0474,0.906,close,0.2608
noproj,phone/phone,51.048,51.048,0.9490,0.2505,0.0461,1.070,open,0.1815
noproj,phone/phone,37.383,37.383,0.9453,0.3418,0.0831,0.967,close,0.1081
noproj,phone/phone,86.524,93.476,0.9518,0.2828,0.1409,1.118,open,0.1107
noproj,phone/phone,10.288,169.712,0.9490,0.3766,0.2240,0.816,close,0.2697
noproj,phone/phone,60.577,119.423,0.9523,0.2180,0.0248,1.149,open,0.0995
noproj,phone/phone,45.621,45.621,0.9517,0.2296,0.1909,1.016,close,0.2469
noproj,phone/phone,55.352,55.352,0.9479,0.1718,0.0676,1.112,open,0.0857
noproj,phone/phone,57.614,57.614,0.9409,0.3728,0.0364,0.933,close,0.1406
noproj,phone/phone,61.860,118.140,0.9448,0.2121,0.0559,0.964,open,0.1108
noproj,phone/phone,77.613,77.613,0.9507,0.2908,0.0965,1.040,close,0.3795
noproj,phone/phone,82.745,97.255,0.9524,0.2678,0.1782,1.076,open,0.0748
noproj,phone/phone,72.047,72.047,0.9396,0.3592,0.0842,0.892,close,0.3188
noproj,phone/phone,85.131,94.869,0.9503,0.2934,0.1514,1.096,open,0.1320
noproj,phone/phone,73.953,73.953,0.9465,0.3110,0.0181,1.072,close,0.1624
noproj,phone/phone,57.550,57.550,0.9529,0.3140,0.0643,1.100,open,0.0460
noproj,scissors/scissors,52.876,127.124,0.9500,0.2074,0.0212,1.124,close,0.0553
noproj,scissors/scissors,63.554,63.554,0.9487,0.1541,0.1050,1.317,open,0.0917
noproj,scissors/scissors,72.209,107.791,0.9510,0.1307,0.1408,1.134,close,0.1895
noproj,scissors/scissors,66.524,66.524,0.9500,0.0953,0.1063,1.237,open,0.1626
noproj,scissors/scissors,81.490,81.490,0.9493,0.1325,0.1447,1.101,close,0.0508
noproj,scissors/scissors,72.273,107.727,0.9537,0.1674,0.0882,1.091,close,0.1092
noproj,scissors/scissors,81.675,98.325,0.9501,0.1794,0.0513,1.222,open,0.0684
noproj,scissors/scissors,67.540,112.460,0.9508,0.1441,0.0858,1.092,close,0.1098
noproj,scissors/scissors,74.969,74.969,0.9499,0.1053,0.0545,1.289,open,0.0881
noproj,scissors/scissors,72.677,107.323,0.9513,0.1518,0.0771,1.096,close,0.0904
noproj,scissors/scissors,74.231,74.231,0.9546,0.1437,0.0536,1.172,close,0.0280
noproj,scissors/scissors,84.325,84.325,0.9534,0.1265,0.0890,1.148,close,0.0965
noproj,scissors/scissors,68.602,68.602,0.9521,0.1652,0.0929,1.123,close,0.0549
noproj,scissors/scissors,62.839,117.161,0.9489,0.1512,0.0890,1.042,close,0.2156
noproj,scissors/scissors,48.274,48.274,0.9499,0.1916,0.0165,1.214,open,0.0582
noproj,scissors/scissors,55.743,124.257,0.9510,0.2625,0.0978,1.105,close,0.1514
noproj,scissors/scissors,52.322,127.678,0.9526,0.1259,0.1060,1.128,close,0.1748
noproj,scissors/scissors,89.565,89.565,0.9492,0.1383,0.1108,1.167,close,0.1047
