model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
attnpool,notebook/notebook,59.980,59.980,0.8659,0.7125,0.5708,0.797
attnpool,notebook/notebook,32.674,32.674,0.8961,0.1723,0.3078,1.247
attnpool,notebook/notebook,4.933,4.933,0.9255,0.1571,0.2415,1.133
attnpool,notebook/notebook,34.342,34.342,0.9134,0.3449,0.1344,1.462
attnpool,notebook/notebook,34.254,34.254,0.9174,0.6563,0.0280,2.163
attnpool,notebook/notebook,17.756,17.756,0.9278,0.4424,0.0152,1.139
attnpool,notebook/notebook,27.568,27.568,0.9411,0.8868,0.1085,1.935
attnpool,notebook/notebook,33.372,33.372,0.9119,0.8192,0.1848,0.762
attnpool,notebook/notebook,21.056,21.056,0.9257,0.4034,0.0263,1.867
attnpool,notebook/notebook,9.760,9.760,0.9411,0.9474,0.1767,0.332
attnpool,notebook/notebook,85.198,85.198,0.8169,1.0338,0.6065,0.221
attnpool,notebook/notebook,20.729,20.729,0.9197,0.2606,0.0225,1.394
attnpool,notebook/notebook,43.114,43.114,0.9111,0.9841,0.2587,0.280
attnpool,notebook/notebook,26.042,26.042,0.9254,0.2380,0.0943,1.400
attnpool,notebook/notebook,34.498,34.498,0.9267,0.3456,0.1344,1.295
attnpool,notebook/notebook,23.114,23.114,0.9326,0.5005,0.0330,1.835
attnpool,notebook/notebook,35.017,35.017,0.9178,1.1680,0.2088,0.261
attnpool,notebook/notebook,5.406,5.406,0.9305,0.2212,0.0485,1.451
attnpool,phone/phone,45.392,134.608,0.9161,1.1124,0.0199,1.219
attnpool,phone/phone,19.160,19.160,0.8631,0.7931,0.0175,1.412
attnpool,phone/phone,43.062,136.938,0.8724,1.1140,0.0353,1.168
attnpool,phone/phone,51.208,51.208,0.8484,0.3909,0.1100,1.899
attnpool,phone/phone,42.179,137.821,0.8744,0.5954,0.0286,2.004
attnpool,phone/phone,31.402,31.402,0.8778,0.4815,0.1593,1.978
attnpool,phone/phone,31.341,148.659,0.9047,1.2593,0.0707,0.619
attnpool,phone/phone,58.502,121.498,0.8817,0.7514,0.0905,1.135
attnpool,phone/phone,46.252,133.748,0.9359,0.6831,0.0157,1.842
attnpool,phone/phone,28.235,28.235,0.9194,0.6741,0.0526,1.705
attnpool,phone/phone,45.160,134.840,0.9373,0.4884,0.0717,2.047
attnpool,phone/phone,66.757,66.757,0.9051,1.2267,0.1966,0.928
attnpool,phone/phone,58.343,121.657,0.9338,0.8471,0.0586,1.611
attnpool,phone/phone,54.229,54.229,0.9217,0.7055,0.1810,1.392
attnpool,phone/phone,88.609,91.391,0.9418,0.6343,0.0816,1.479
attnpool,phone/phone,46.309,46.309,0.8945,0.5176,0.1816,1.774
attnpool,laptop/laptop,22.424,22.424,0.9471,2.4567,0.0568,0.664
attnpool,laptop/laptop,32.270,147.730,0.9607,1.0720,0.0501,1.594
attnpool,laptop/laptop,10.151,169.849,0.9558,2.6650,0.0505,0.264
attnpool,laptop/laptop,58.987,58.987,0.9595,2.0021,0.2603,0.611
attnpool,laptop/laptop,42.839,137.161,0.9629,1.3068,0.1236,2.594
attnpool,laptop/laptop,47.887,47.887,0.9626,1.1406,0.1644,2.399
attnpool,laptop/laptop,33.032,146.968,0.9584,1.2790,0.0339,1.384
attnpool,laptop/laptop,22.703,22.703,0.9496,1.9997,0.0216,1.128
attnpool,laptop/laptop,38.330,141.670,0.9593,1.1415,0.0029,2.100
attnpool,laptop/laptop,25.459,25.459,0.9488,2.3748,0.0115,0.844
attnpool,laptop/laptop,10.269,10.269,0.9448,2.0688,0.0910,1.083
attnpool,laptop/laptop,35.479,144.521,0.9637,1.1736,0.1118,2.125
attnpool,laptop/laptop,24.548,24.548,0.9504,2.8904,0.0349,0.436
attnpool,laptop/laptop,33.563,146.437,0.9579,1.2847,0.0580,1.292
attnpool,microwave/microwave,16.103,16.103,0.9386,0.3098,0.0260,1.871
attnpool,microwave/microwave,67.002,112.998,0.9488,0.7372,0.0501,1.926
attnpool,microwave/microwave,17.295,17.295,0.9153,0.2537,0.0278,1.970
attnpool,microwave/microwave,69.606,110.394,0.9488,0.7606,0.0687,1.891
attnpool,microwave/microwave,26.780,26.780,0.9320,0.3784,0.2032,1.881
attnpool,microwave/microwave,19.070,19.070,0.9326,0.3460,0.0207,1.811
attnpool,microwave/microwave,82.454,82.454,0.9466,0.7689,0.1405,1.806
attnpool,microwave/microwave,15.212,15.212,0.9480,0.2696,0.0578,1.929
attnpool,microwave/microwave,55.492,124.508,0.9515,0.6641,0.0101,1.850
attnpool,microwave/microwave,15.236,15.236,0.9468,0.3062,0.0334,2.103
attnpool,microwave/microwave,54.005,125.995,0.9466,0.6977,0.0366,1.909
attnpool,microwave/microwave,13.504,13.504,0.9411,0.2943,0.0368,1.853
attnpool,microwave/microwave,71.276,108.724,0.9487,0.8215,0.1000,1.886
attnpool,microwave/microwave,26.328,26.328,0.9129,0.2584,0.0415,2.076
attnpool,microwave/microwave,61.570,118.430,0.9251,0.4089,0.1205,1.841
attnpool,microwave/microwave,14.211,14.211,0.8579,0.1152,0.1723,1.617
attnpool,microwave/microwave,56.870,123.130,0.9326,0.3291,0.0011,1.789
attnpool,microwave/microwave,12.760,12.760,0.9149,0.2927,0.0074,1.686
attnpool,microwave/microwave,89.392,89.392,0.9324,0.4692,0.0510,1.846
attnpool,microwave/microwave,16.505,16.505,0.9530,0.3173,0.1268,2.160
attnpool,microwave/microwave,26.239,26.239,0.9407,0.2722,0.0407,1.988
attnpool,microwave/microwave,66.675,113.325,0.9459,0.7203,0.0799,1.783
attnpool,microwave/microwave,20.593,20.593,0.9414,0.3134,0.0003,2.095
attnpool,microwave/microwave,56.025,123.975,0.9521,0.7140,0.0660,1.821
attnpool,microwave/microwave,22.407,22.407,0.9458,0.2426,0.0542,2.121
attnpool,microwave/microwave,81.850,81.850,0.9571,0.7087,0.1010,1.975
attnpool,microwave/microwave,8.872,8.872,0.9300,0.2410,0.0293,1.915
attnpool,microwave/microwave,73.789,73.789,0.9508,0.8530,0.1456,2.020
attnpool,microwave/microwave,23.488,23.488,0.9003,0.1324,0.1520,1.813
attnpool,microwave/microwave,46.937,133.063,0.8234,0.4104,0.1522,1.520
attnpool,microwave/microwave,69.518,69.518,0.9464,0.7128,0.2203,1.862
attnpool,notebook/notebook,37.243,37.243,0.9158,0.5904,0.0182,1.376
attnpool,notebook/notebook,44.142,44.142,0.9614,0.1062,0.0812,1.210
attnpool,notebook/notebook,56.305,56.305,0.9524,0.5357,0.4399,1.402
attnpool,notebook/notebook,42.970,42.970,0.9663,0.4800,0.2282,0.444
attnpool,notebook/notebook,82.569,82.569,0.9550,0.3294,0.0958,1.336
attnpool,notebook/notebook,52.244,52.244,0.9548,0.2866,0.2871,1.449
attnpool,notebook/notebook,89.648,89.648,0.9529,0.7132,0.4461,1.098
attnpool,notebook/notebook,2.208,2.208,0.9512,0.7857,0.2885,1.087
attnpool,notebook/notebook,13.872,13.872,0.9561,0.5710,0.0229,1.987
attnpool,notebook/notebook,51.271,51.271,0.9525,0.4388,0.3632,1.469
attnpool,notebook/notebook,58.225,58.225,0.9544,0.2629,0.2251,1.977
attnpool,notebook/notebook,51.816,51.816,0.9620,0.4212,0.0279,1.662
attnpool,notebook/notebook,54.535,54.535,0.9539,0.4431,0.0593,1.817
attnpool,notebook/notebook,88.724,91.276,0.9480,0.3005,0.2918,1.986
attnpool,notebook/notebook,45.684,45.684,0.9544,0.5047,0.0132,2.068
attnpool,notebook/notebook,40.146,40.146,0.9506,0.7258,0.4453,1.117
attnpool,phone/phone,22.653,157.347,0.9335,0.7415,0.1430,1.975
attnpool,phone/phone,67.850,67.850,0.8651,1.4969,0.1369,0.115
attnpool,phone/phone,18.665,161.335,0.9303,0.7971,0.1752,2.009
attnpool,phone/phone,83.731,96.269,0.9240,0.6788,0.1507,1.529
attnpool,phone/phone,40.190,139.810,0.9297,0.7474,0.2078,1.913
attnpool,phone/phone,36.640,36.640,0.8868,0.5643,0.2525,1.794
attnpool,phone/phone,50.189,129.811,0.9287,0.8515,0.1394,1.328
attnpool,phone/phone,52.590,127.410,0.8519,0.2206,0.1654,1.865
attnpool,phone/phone,26.808,153.192,0.9345,0.6873,0.1145,1.836
attnpool,phone/phone,39.715,39.715,0.9099,0.4116,0.0179,1.715
attnpool,phone/phone,47.168,132.832,0.9245,0.4804,0.1547,1.822
attnpool,phone/phone,69.280,110.720,0.9010,0.5447,0.1641,1.669
attnpool,phone/phone,58.862,121.138,0.9229,0.4968,0.1514,1.866
attnpool,phone/phone,64.388,115.612,0.9057,0.0842,0.0184,1.868
attnpool,phone/phone,64.608,115.392,0.9284,0.6760,0.1437,1.564
attnpool,phone/phone,73.697,106.303,0.8371,0.2013,0.1017,1.743
attnpool,phone/phone,48.230,131.770,0.9119,0.7098,0.0646,1.973
attnpool,phone/phone,80.251,99.749,0.9057,0.5145,0.1965,1.911
attnpool,espressomachine/espressomachine,69.162,110.838,0.9017,2.8606,0.1682,0.107
attnpool,espressomachine/espressomachine,88.372,91.628,0.9340,3.1439,0.1866,0.560
attnpool,espressomachine/espressomachine,54.198,125.802,0.9320,2.1363,0.1611,0.157
attnpool,espressomachine/espressomachine,87.624,87.624,0.9241,0.7071,0.1860,3.019
attnpool,espressomachine/espressomachine,57.537,122.463,0.9112,1.7087,0.1643,0.550
attnpool,espressomachine/espressomachine,81.551,98.449,0.9077,3.3133,0.1464,0.333
attnpool,espressomachine/espressomachine,72.880,107.120,0.9258,0.6621,0.1624,2.515
attnpool,espressomachine/espressomachine,81.478,98.522,0.9141,1.3725,0.0387,1.689
attnpool,espressomachine/espressomachine,64.310,115.690,0.9312,1.3958,0.1609,1.525
attnpool,espressomachine/espressomachine,77.171,102.829,0.8872,2.1226,0.1422,1.310
attnpool,espressomachine/espressomachine,59.279,120.721,0.9299,0.9901,0.1571,1.944
attnpool,espressomachine/espressomachine,80.171,99.829,0.9336,2.9236,0.1440,0.691
attnpool,espressomachine/espressomachine,75.924,104.076,0.9237,2.2449,0.1589,0.891
attnpool,espressomachine/espressomachine,84.840,95.160,0.9423,1.8861,0.1522,1.693
attnpool,espressomachine/espressomachine,76.255,103.745,0.9359,0.8349,0.0554,2.506
attnpool,espressomachine/espressomachine,79.515,79.515,0.9434,0.6899,0.2006,2.998
attnpool,espressomachine/espressomachine,62.708,117.292,0.9114,2.3639,0.1137,0.112
attnpool,espressomachine/espressomachine,86.760,86.760,0.9293,3.0063,0.1724,0.430
attnpool,espressomachine/espressomachine,77.343,102.657,0.9085,1.8041,0.1690,1.302
attnpool,espressomachine/espressomachine,78.073,101.927,0.9363,2.8949,0.1917,0.881
attnpool,espressomachine/espressomachine,73.443,106.557,0.9322,2.7718,0.1690,0.366
attnpool,espressomachine/espressomachine,76.383,76.383,0.9415,0.8711,0.1345,2.873
attnpool,espressomachine/espressomachine,71.451,108.549,0.9237,2.8335,0.1494,0.152
attnpool,espressomachine/espressomachine,83.310,83.310,0.9338,3.1430,0.1621,0.383
attnpool,espressomachine/espressomachine,84.786,84.786,0.9004,2.0791,0.1820,1.803
attnpool,espressomachine/espressomachine,74.728,105.272,0.9132,2.1052,0.1667,1.558
attnpool,espressomachine/espressomachine,82.198,97.802,0.9282,2.5598,0.1647,0.588
attnpool,espressomachine/espressomachine,89.862,89.862,0.9257,3.4303,0.1536,0.127
attnpool,espressomachine/espressomachine,85.264,85.264,0.9252,3.4215,0.1744,0.187
attnpool,espressomachine/espressomachine,84.216,84.216,0.9228,2.1532,0.1711,1.159
attnpool,espressomachine/espressomachine,85.050,85.050,0.9145,3.1908,0.0713,0.104
attnpool,espressomachine/espressomachine,78.956,78.956,0.9310,0.7130,0.1352,2.966
attnpool,espressomachine/espressomachine,72.243,107.757,0.9250,2.1557,0.1544,0.768
attnpool,espressomachine/espressomachine,67.924,67.924,0.9415,1.5688,0.1243,1.414
attnpool,espressomachine/espressomachine,69.955,110.045,0.9327,2.4734,0.1419,0.339
attnpool,espressomachine/espressomachine,65.806,65.806,0.9185,1.5918,0.2064,1.357
attnpool,espressomachine/espressomachine,80.622,99.378,0.8998,0.9086,0.1707,2.762
attnpool,espressomachine/espressomachine,82.426,82.426,0.9036,0.8047,0.1571,3.104
attnpool,espressomachine/espressomachine,87.319,87.319,0.9405,1.1161,0.1469,2.620
attnpool,espressomachine/espressomachine,69.182,110.818,0.9323,2.6595,0.1819,0.120
attnpool,phone/phone,48.523,131.477,0.9320,0.7236,0.0254,1.896
attnpool,phone/phone,40.707,40.707,0.9184,0.4336,0.0118,1.595
attnpool,phone/phone,45.360,134.640,0.9171,0.5698,0.0220,1.801
attnpool,phone/phone,58.759,58.759,0.9327,0.5806,0.1196,1.665
attnpool,phone/phone,58.736,121.264,0.9248,0.5174,0.0023,1.831
attnpool,phone/phone,32.198,32.198,0.9281,1.1403,0.0098,0.654
attnpool,phone/phone,61.295,118.705,0.9277,0.5018,0.0626,2.206
attnpool,phone/phone,23.455,23.455,0.9311,0.4488,0.0020,1.622
attnpool,phone/phone,42.602,137.398,0.9324,0.6444,0.0762,1.698
attnpool,phone/phone,50.588,50.588,0.9357,0.6359,0.0382,1.406
attnpool,phone/phone,62.955,117.045,0.9303,0.4232,0.0786,2.131
attnpool,phone/phone,23.396,23.396,0.8863,0.4842,0.1295,1.866
attnpool,phone/phone,45.914,134.086,0.9399,0.7340,0.0522,1.850
attnpool,phone/phone,50.492,50.492,0.9188,0.4007,0.1104,1.447
attnpool,phone/phone,60.656,119.344,0.9193,0.7063,0.0236,1.757
attnpool,phone/phone,40.291,40.291,0.9116,0.3469,0.1056,1.719
attnpool,phone/phone,52.404,127.596,0.9348,0.6051,0.0599,2.054
attnpool,phone/phone,10.514,10.514,0.9145,0.6185,0.0819,1.636
attnpool,phone/phone,47.372,132.628,0.9359,0.5941,0.0421,2.031
attnpool,phone/phone,18.007,18.007,0.9212,0.6820,0.1906,1.558
attnpool,phone/phone,53.384,126.616,0.9305,0.5761,0.0361,1.843
attnpool,phone/phone,39.422,39.422,0.9214,0.4267,0.0978,1.539
attnpool,phone/phone,73.960,106.040,0.9073,0.3949,0.0145,2.146
attnpool,phone/phone,20.736,20.736,0.8854,0.3900,0.1870,1.859
attnpool,phone/phone,51.854,128.146,0.9351,0.7052,0.0565,1.951
attnpool,phone/phone,72.016,72.016,0.9273,0.5413,0.1505,1.705
attnpool,phone/phone,46.940,133.060,0.9216,0.5403,0.0218,1.829
attnpool,phone/phone,82.723,97.277,0.9220,0.2503,0.0645,1.748
attnpool,phone/phone,45.561,134.439,0.9293,0.7024,0.0386,1.738
attnpool,phone/phone,19.473,19.473,0.9148,0.2026,0.1278,1.966
attnpool,phone/phone,56.016,123.984,0.9050,0.5518,0.0036,1.978
attnpool,phone/phone,4.743,4.743,0.8988,0.3894,0.0630,1.955
attnpool,phone/phone,49.609,130.391,0.9291,0.7037,0.0466,1.631
attnpool,phone/phone,48.542,48.542,0.9084,0.5501,0.0964,1.833
attnpool,scissors/scissors,59.922,59.922,0.9393,0.4143,0.2881,1.852
attnpool,scissors/scissors,39.067,39.067,0.9349,0.5571,0.0190,1.241
attnpool,scissors/scissors,62.932,62.932,0.9330,0.5082,0.1157,1.765
attnpool,scissors/scissors,28.958,28.958,0.9343,1.0333,0.0020,0.532
attnpool,scissors/scissors,78.429,78.429,0.9410,0.7421,0.2506,1.701
attnpool,scissors/scissors,57.684,122.316,0.9468,0.6760,0.2500,1.555
attnpool,scissors/scissors,47.592,47.592,0.9524,0.0793,0.0296,1.805
attnpool,scissors/scissors,57.744,57.744,0.9340,0.3615,0.0367,1.787
attnpool,scissors/scissors,18.299,18.299,0.9370,0.1233,0.0745,1.708
attnpool,scissors/scissors,58.740,58.740,0.9377,0.5646,0.1786,1.719
attnpool,scissors/scissors,86.235,86.235,0.9429,0.4634,0.1761,1.713
attnpool,scissors/scissors,73.769,73.769,0.9360,0.3682,0.0719,1.676
attnpool,scissors/scissors,87.154,87.154,0.9376,0.3497,0.0890,1.797
attnpool,scissors/scissors,73.066,73.066,0.9317,0.3500,0.0368,1.780
attnpool,scissors/scissors,34.601,34.601,0.9430,0.1941,0.0692,1.523
attnpool,scissors/scissors,19.398,19.398,0.9246,0.3928,0.1224,1.365
attnpool,scissors/scissors,26.425,26.425,0.9231,0.4510,0.0631,1.402
attnpool,scissors/scissors,64.186,64.186,0.9342,0.2875,0.0308,1.696
attnpool,scissors/scissors,65.218,65.218,0.9387,0.2535,0.0303,1.673
attnpool,scissors/scissors,43.863,43.863,0.9459,0.4292,0.0225,1.473
attnpool,scissors/scissors,65.119,65.119,0.9403,0.4171,0.1084,1.610
attnpool,scissors/scissors,31.755,31.755,0.9257,0.4596,0.0914,1.630
attnpool,scissors/scissors,37.484,37.484,0.9423,0.5370,0.1897,1.654
attnpool,scissors/scissors,49.100,49.100,0.9436,0.1597,0.0063,1.700
attnpool,scissors/scissors,79.749,79.749,0.9379,0.6032,0.1994,1.851
attnpool,scissors/scissors,40.756,40.756,0.9324,0.4564,0.1023,1.724
attnpool,scissors/scissors,75.762,75.762,0.9410,0.2533,0.0343,1.788
attnpool,scissors/scissors,22.499,22.499,0.9466,0.9804,0.0020,0.616
attnpool,scissors/scissors,34.309,34.309,0.9377,0.5345,0.1868,1.522
attnpool,scissors/scissors,34.096,34.096,0.9193,0.4060,0.0887,1.747
attnpool,scissors/scissors,59.827,59.827,0.9462,0.4817,0.1678,1.656
attnpool,scissors/scissors,40.483,40.483,0.9331,0.3166,0.0015,1.594
attnpool,scissors/scissors,58.706,58.706,0.9418,0.5765,0.1798,1.659
attnpool,scissors/scissors,50.824,50.824,0.9446,0.4061,0.1099,1.538
attnpool,scissors/scissors,35.715,35.715,0.9284,0.3511,0.0354,1.630
attnpool,scissors/scissors,50.947,50.947,0.9402,0.2899,0.0173,1.633
attnpool,scissors/scissors,71.920,71.920,0.9416,0.3269,0.0375,1.508
attnpool,scissors/scissors,80.053,80.053,0.9394,0.4067,0.0915,1.592
attnpool,scissors/scissors,45.485,45.485,0.9457,1.3721,0.0012,0.160
attnpool,scissors/scissors,71.086,71.086,0.9430,0.4473,0.1103,1.505
attnpool,scissors/scissors,46.475,46.475,0.9428,0.8865,0.0071,0.979
attnpool,scissors/scissors,68.878,68.878,0.9412,0.3595,0.0477,1.587
attnpool,scissors/scissors,70.394,70.394,0.9342,0.4531,0.0653,1.687
attnpool,scissors/scissors,48.852,48.852,0.9404,0.0939,0.0324,1.706
attnpool,scissors/scissors,62.426,62.426,0.9300,0.5820,0.1398,1.725
attnpool,scissors/scissors,58.013,58.013,0.9359,0.4600,0.1097,1.655
attnpool,scissors/scissors,21.332,21.332,0.9336,0.4485,0.1709,1.533
attnpool,scissors/scissors,43.087,43.087,0.9478,1.2309,0.0203,0.146
attnpool,scissors/scissors,48.484,48.484,0.9285,0.4093,0.2305,1.940
