model,source,key,gt_type,p_rev,type_ok,point_err,end_err,disp_err,gt_len,mask_iou
depth,hoi4d,ZY20210800001_H1_C14_N39/S207_s04_T2_w0_f044,0,0.0505,1,0.00401,0.01126,0.00982,0.01821,0.7463
depth,hoi4d,ZY20210800001_H1_C14_N39/S207_s04_T2_w1_f051,1,0.9482,1,0.01045,0.03496,0.04409,0.24182,0.7730
depth,hoi4d,ZY20210800001_H1_C14_N39/S207_s04_T2_w2_f076,1,0.9469,1,0.00449,0.05027,0.05468,0.24837,0.7633
depth,hoi4d,ZY20210800001_H1_C14_N39/S207_s04_T2_w3_f160,1,0.9453,1,0.00995,0.02282,0.01343,0.22396,0.7796
depth,hoi4d,ZY20210800001_H1_C17_N21/S159_s03_T3_w2_f109,0,0.0459,1,0.01788,0.00880,0.00963,0.03320,0.3112
depth,hoi4d,ZY20210800001_H1_C17_N21/S159_s03_T3_w8_f246,0,0.0494,1,0.01187,0.03700,0.03295,0.05720,0.4846
depth,hoi4d,ZY20210800001_H1_C17_N23/S159_s03_T3_w2_f112,0,0.0451,1,0.01402,0.02637,0.01298,0.09052,0.0000
depth,hoi4d,ZY20210800001_H1_C17_N23/S159_s03_T3_w6_f233,0,0.0552,1,0.00676,0.02737,0.02190,0.08703,0.6671
depth,hoi4d,ZY20210800001_H1_C17_N59/S266_s02_T3_w2_f117,0,0.0419,1,0.01353,0.02341,0.01042,0.02881,0.2219
depth,hoi4d,ZY20210800001_H1_C17_N59/S266_s02_T3_w7_f261,0,0.0482,1,0.00551,0.00143,0.00414,0.01378,0.4338
depth,hoi4d,ZY20210800001_H1_C17_N62/S264_s03_T2_w1_f082,1,0.9543,1,0.00574,0.07024,0.07068,0.24259,0.0000
depth,hoi4d,ZY20210800001_H1_C17_N62/S264_s03_T2_w2_f108,1,0.9530,1,0.01752,0.04339,0.05499,0.25221,0.2891
depth,hoi4d,ZY20210800001_H1_C17_N62/S264_s03_T2_w5_f219,1,0.9503,1,0.01105,0.05731,0.06111,0.26393,0.0045
depth,hoi4d,ZY20210800001_H1_C17_N62/S264_s03_T2_w6_f239,1,0.9491,1,0.01621,0.02700,0.03532,0.22577,0.0876
depth,hoi4d,ZY20210800001_H1_C17_N62/S266_s03_T3_w2_f125,0,0.0492,1,0.00651,0.00410,0.00988,0.06445,0.5361
depth,hoi4d,ZY20210800001_H1_C17_N63/S264_s04_T2_w1_f064,1,0.9505,1,0.01066,0.01207,0.01881,0.28299,0.0000
depth,hoi4d,ZY20210800001_H1_C17_N63/S264_s04_T2_w2_f098,1,0.9486,1,0.01718,0.03854,0.03400,0.14435,0.3645
depth,hoi4d,ZY20210800001_H1_C17_N63/S264_s04_T2_w5_f211,1,0.9384,1,0.01477,0.01564,0.02528,0.21715,0.0000
depth,hoi4d,ZY20210800001_H1_C17_N63/S264_s04_T2_w6_f236,1,0.9506,1,0.34461,0.23638,0.10825,0.16317,0.3203
depth,hoi4d,ZY20210800001_H1_C17_N71/S266_s01_T2_w1_f067,1,0.9515,1,0.03949,0.11886,0.11785,0.33596,0.1468
depth,hoi4d,ZY20210800001_H1_C17_N71/S266_s01_T2_w2_f096,1,0.9499,1,0.02543,0.05792,0.04003,0.29323,0.0496
depth,hoi4d,ZY20210800001_H1_C17_N71/S266_s01_T2_w5_f204,1,0.9447,1,0.00790,0.01380,0.02104,0.25431,0.5127
depth,hoi4d,ZY20210800001_H1_C17_N71/S266_s01_T2_w6_f229,1,0.9522,1,0.03067,0.06953,0.07967,0.24409,0.0042
depth,hoi4d,ZY20210800001_H1_C1_N19/S100_s02_T2_w2_f086,0,0.0580,1,0.00685,0.00737,0.01421,0.01621,0.3965
depth,hoi4d,ZY20210800001_H1_C1_N19/S100_s02_T2_w3_f096,0,0.0488,1,0.01395,0.03148,0.02219,0.03736,0.5753
depth,hoi4d,ZY20210800001_H1_C1_N19/S100_s02_T2_w4_f122,0,0.0546,1,0.02095,0.02748,0.02040,0.02398,0.6301
depth,hoi4d,ZY20210800001_H1_C1_N19/S100_s02_T2_w5_f132,0,0.0637,1,0.00445,0.01867,0.01486,0.01117,0.6817
depth,hoi4d,ZY20210800001_H1_C1_N33/S100_s05_T2_w2_f079,0,0.0503,1,0.01857,0.02242,0.01356,0.02549,0.6635
depth,hoi4d,ZY20210800001_H1_C1_N33/S100_s05_T2_w3_f091,0,0.0612,1,0.00363,0.03037,0.03226,0.03045,0.6210
depth,hoi4d,ZY20210800001_H1_C1_N33/S100_s05_T2_w4_f116,0,0.0506,1,0.00170,0.06073,0.06190,0.06093,0.4279
depth,hoi4d,ZY20210800001_H1_C1_N33/S100_s05_T2_w5_f129,0,0.0504,1,0.00719,0.03864,0.03200,0.04887,0.6065
depth,hoi4d,ZY20210800001_H1_C2_N31/S213_s03_T4_w4_f225,0,0.0548,1,0.00530,0.03227,0.03047,0.05234,0.4538
depth,hoi4d,ZY20210800001_H1_C2_N32/S213_s03_T4_w4_f236,0,0.0552,1,0.01706,0.03769,0.02208,0.04891,0.6064
depth,hoi4d,ZY20210800001_H1_C3_N25/S19_s02_T2_w0_f032,1,0.9439,1,0.01938,0.19356,0.18832,0.26830,0.6658
depth,hoi4d,ZY20210800001_H1_C3_N25/S19_s02_T2_w1_f131,1,0.9459,1,0.01352,0.07580,0.06228,0.19913,0.5398
depth,hoi4d,ZY20210800001_H1_C3_N28/S19_s03_T2_w0_f040,1,0.9448,1,0.02974,0.19700,0.16848,0.29697,0.6536
depth,hoi4d,ZY20210800001_H1_C3_N28/S19_s03_T2_w1_f126,1,0.9484,1,0.03526,0.08893,0.10342,0.15973,0.6271
depth,hoi4d,ZY20210800001_H1_C3_N44/S115_s03_T2_w0_f020,1,0.9498,1,0.01776,0.07927,0.07715,0.14448,0.5356
depth,hoi4d,ZY20210800001_H1_C3_N44/S115_s03_T2_w1_f079,1,0.9519,1,0.03167,0.09526,0.06445,0.02636,0.1641
depth,hoi4d,ZY20210800001_H1_C4_N03/S20_s01_T2_w0_f041,0,0.0398,1,0.01341,0.10765,0.11779,0.35062,0.1670
depth,hoi4d,ZY20210800001_H1_C4_N03/S20_s01_T2_w1_f116,0,0.0471,1,0.00533,0.03472,0.03911,0.34586,0.6598
depth,hoi4d,ZY20210800001_H1_C4_N03/S20_s01_T2_w2_f187,0,0.0394,1,0.01080,0.21695,0.22631,0.35355,0.1070
depth,hoi4d,ZY20210800001_H1_C4_N03/S20_s01_T2_w3_f253,0,0.0493,1,0.01795,0.08539,0.06773,0.33201,0.5528
depth,hoi4d,ZY20210800001_H1_C4_N27/S21_s01_T1_w0_f041,0,0.0534,1,0.00565,0.05954,0.05450,0.13564,0.8250
depth,hoi4d,ZY20210800001_H1_C4_N27/S21_s01_T1_w1_f108,0,0.0421,1,0.00478,0.03060,0.03074,0.15455,0.4759
depth,hoi4d,ZY20210800001_H1_C4_N27/S21_s01_T1_w2_f166,0,0.0557,1,0.00624,0.08192,0.07577,0.13622,0.7624
depth,hoi4d,ZY20210800001_H1_C4_N27/S21_s01_T1_w3_f210,0,0.0452,1,0.00826,0.05769,0.05321,0.13882,0.4773
depth,hoi4d,ZY20210800001_H1_C4_N27/S21_s01_T2_w0_f046,1,0.9463,1,0.01041,0.15703,0.14829,0.42156,0.3604
depth,hoi4d,ZY20210800001_H1_C4_N27/S21_s01_T2_w1_f119,0,0.0480,1,0.02465,0.10295,0.11120,0.33068,0.6250
depth,hoi4d,ZY20210800001_H1_C4_N27/S21_s01_T2_w2_f182,1,0.9451,1,0.02126,0.16384,0.15981,0.39366,0.7560
depth,hoi4d,ZY20210800001_H1_C4_N27/S21_s01_T2_w3_f242,0,0.0500,1,0.01761,0.14661,0.14206,0.41379,0.5028
depth,hoi4d,ZY20210800001_H1_C4_N38/S21_s05_T1_w0_f034,0,0.0461,1,0.02077,0.01293,0.00793,0.16165,0.7153
depth,hoi4d,ZY20210800001_H1_C4_N38/S21_s05_T1_w1_f104,0,0.0464,1,0.00627,0.02642,0.02905,0.12443,0.7068
depth,hoi4d,ZY20210800001_H1_C4_N38/S21_s05_T1_w2_f185,0,0.0456,1,0.01676,0.03123,0.03033,0.11349,0.7201
depth,hoi4d,ZY20210800001_H1_C4_N38/S21_s05_T1_w3_f248,0,0.0455,1,0.00516,0.02235,0.01720,0.09175,0.7010
depth,hoi4d,ZY20210800001_H1_C4_N38/S21_s05_T2_w0_f046,1,0.9546,1,0.02772,0.08892,0.09682,0.23186,0.3135
depth,hoi4d,ZY20210800001_H1_C4_N38/S21_s05_T2_w1_f116,1,0.9529,1,0.00692,0.04992,0.05191,0.24806,0.5090
depth,hoi4d,ZY20210800001_H1_C4_N38/S21_s05_T2_w2_f199,1,0.9548,1,0.01140,0.20491,0.19353,0.36621,0.2763
depth,hoi4d,ZY20210800001_H1_C4_N38/S21_s05_T2_w3_f270,1,0.9535,1,0.01117,0.01332,0.02447,0.18241,0.4096
depth,hoi4d,ZY20210800001_H1_C4_N67/S391_s02_T2_w0_f088,1,0.9530,1,0.01909,0.07163,0.08948,0.33270,0.2567
depth,hoi4d,ZY20210800001_H1_C4_N67/S391_s02_T2_w1_f122,1,0.9493,1,0.01681,0.04232,0.05678,0.33670,0.4754
depth,hoi4d,ZY20210800001_H1_C4_N67/S391_s02_T2_w2_f219,1,0.9534,1,0.02115,0.07191,0.09054,0.19607,0.2753
depth,hoi4d,ZY20210800001_H1_C4_N67/S391_s02_T2_w3_f241,1,0.9498,1,0.00715,0.07712,0.07001,0.32108,0.6067
depth,hoi4d,ZY20210800001_H1_C4_N67/S391_s03_T3_w2_f134,0,0.0528,1,0.01658,0.10479,0.08863,0.23202,0.7714
depth,hoi4d,ZY20210800001_H1_C4_N67/S391_s04_T4_w2_f202,0,0.0503,1,0.03792,0.08729,0.04988,0.11153,0.5716
depth,hoi4d,ZY20210800001_H1_C4_N67/S391_s05_T4_w2_f181,0,0.0437,1,0.02379,0.03808,0.02605,0.14516,0.5718
depth,hoi4d,ZY20210800001_H1_C6_N14/S247_s04_T2_w0_f059,1,0.9372,1,0.00518,0.03793,0.03768,0.18947,0.7365
depth,hoi4d,ZY20210800001_H1_C6_N14/S247_s04_T2_w1_f090,1,0.9368,1,0.01428,0.03086,0.01752,0.20188,0.6321
depth,hoi4d,ZY20210800001_H1_C6_N14/S247_s04_T2_w2_f172,1,0.9420,1,0.00914,0.04906,0.04787,0.18898,0.8241
depth,hoi4d,ZY20210800001_H1_C6_N14/S85_s02_T2_w0_f050,1,0.9472,1,0.03252,0.04571,0.05846,0.17427,0.6020
depth,hoi4d,ZY20210800001_H1_C6_N14/S85_s02_T2_w1_f121,1,0.9467,1,0.01200,0.05803,0.06945,0.14445,0.4554
depth,hoi4d,ZY20210800001_H1_C6_N14/S85_s02_T2_w2_f174,1,0.9446,1,0.01273,0.05509,0.05313,0.15298,0.7591
depth,hoi4d,ZY20210800001_H1_C6_N14/S85_s02_T2_w5_f259,1,0.9469,1,0.00975,0.02013,0.01310,0.10016,0.4247
depth,hoi4d,ZY20210800001_H1_C6_N20/S247_s05_T2_w0_f056,1,0.9426,1,0.03440,0.03866,0.03355,0.22786,0.8043
depth,hoi4d,ZY20210800001_H1_C6_N20/S247_s05_T2_w1_f082,1,0.9455,1,0.00880,0.03572,0.02909,0.21184,0.6133
depth,hoi4d,ZY20210800001_H1_C6_N20/S247_s05_T2_w2_f182,1,0.9424,1,0.03508,0.03798,0.06869,0.21639,0.8317
depth,hoi4d,ZY20210800001_H1_C6_N25/S248_s02_T2_w0_f051,1,0.9463,1,0.04266,0.04806,0.01876,0.25972,0.8513
depth,hoi4d,ZY20210800001_H1_C6_N25/S248_s02_T2_w1_f085,1,0.9532,1,0.00996,0.09577,0.08725,0.31551,0.6686
depth,hoi4d,ZY20210800001_H1_C6_N25/S248_s02_T2_w2_f182,1,0.9425,1,0.01293,0.01605,0.01874,0.24368,0.7609
depth,hoi4d,ZY20210800001_H1_C6_N25/S86_s01_T1_w0_f042,1,0.9325,1,0.02183,0.04662,0.02589,0.22184,0.7858
depth,hoi4d,ZY20210800001_H1_C6_N25/S86_s01_T1_w1_f120,1,0.9416,1,0.02359,0.02401,0.01161,0.14887,0.6910
depth,hoi4d,ZY20210800001_H1_C6_N25/S86_s01_T1_w2_f207,1,0.9339,1,0.01505,0.02780,0.01319,0.18309,0.7739
depth,hoi4d,ZY20210800001_H1_C6_N25/S86_s01_T1_w3_f250,1,0.9401,1,0.01917,0.03543,0.01801,0.11419,0.7217
depth,hoi4d,ZY20210800002_H2_C14_N13/S161_s04_T1_w0_f056,1,0.9263,1,0.00315,0.00801,0.00999,0.22404,0.8001
depth,hoi4d,ZY20210800002_H2_C14_N13/S161_s04_T1_w1_f096,1,0.9429,1,0.01326,0.04671,0.03571,0.25791,0.6627
depth,hoi4d,ZY20210800002_H2_C14_N13/S161_s04_T1_w3_f235,1,0.9425,1,0.01477,0.04573,0.03101,0.23199,0.7203
depth,hoi4d,ZY20210800002_H2_C14_N13/S185_s04_T2_w0_f055,1,0.9284,1,0.02453,0.10148,0.12427,0.17470,0.4762
depth,hoi4d,ZY20210800002_H2_C14_N13/S185_s04_T2_w1_f072,1,0.5934,1,0.02284,0.01753,0.03879,0.21672,0.5400
depth,hoi4d,ZY20210800002_H2_C14_N13/S185_s04_T2_w2_f155,1,0.9187,1,0.02508,0.07620,0.09681,0.24402,0.6224
depth,hoi4d,ZY20210800002_H2_C14_N21/S163_s01_T1_w0_f055,0,0.0552,1,0.01147,0.00193,0.01285,0.02397,0.7597
depth,hoi4d,ZY20210800002_H2_C14_N21/S163_s01_T1_w1_f066,1,0.9461,1,0.00767,0.01570,0.00846,0.21007,0.8499
depth,hoi4d,ZY20210800002_H2_C14_N21/S163_s01_T1_w2_f108,1,0.9453,1,0.01482,0.03351,0.02120,0.22041,0.6514
depth,hoi4d,ZY20210800002_H2_C14_N21/S163_s01_T1_w3_f217,1,0.9364,1,0.00375,0.02616,0.02738,0.18338,0.7880
depth,hoi4d,ZY20210800002_H2_C14_N21/S163_s01_T1_w4_f248,1,0.9410,1,0.00977,0.03401,0.02543,0.20671,0.5415
depth,hoi4d,ZY20210800002_H2_C14_N21/S187_s01_T2_w0_f048,1,0.8805,1,0.01394,0.06404,0.07602,0.16699,0.8120
depth,hoi4d,ZY20210800002_H2_C14_N21/S187_s01_T2_w1_f074,1,0.9500,1,0.00837,0.03836,0.03505,0.20735,0.5014
depth,hoi4d,ZY20210800002_H2_C14_N21/S187_s01_T2_w2_f160,1,0.9186,1,0.00966,0.09221,0.10157,0.19303,0.7768
depth,hoi4d,ZY20210800002_H2_C14_N22/S163_s01_T1_w0_f052,0,0.0465,1,0.00698,0.02299,0.01700,0.03549,0.6823
depth,hoi4d,ZY20210800002_H2_C14_N22/S163_s01_T1_w1_f061,1,0.9194,1,0.01074,0.01442,0.01355,0.16808,0.8395
depth,hoi4d,ZY20210800002_H2_C14_N22/S163_s01_T1_w2_f091,1,0.9372,1,0.00403,0.00554,0.00644,0.23880,0.6865
depth,hoi4d,ZY20210800002_H2_C14_N22/S163_s01_T1_w3_f198,0,0.0463,1,0.00483,0.02309,0.02636,0.04386,0.7415
depth,hoi4d,ZY20210800002_H2_C14_N22/S163_s01_T1_w4_f209,1,0.9090,1,0.01344,0.02650,0.03990,0.20865,0.8307
depth,hoi4d,ZY20210800002_H2_C14_N22/S163_s01_T1_w5_f235,1,0.9352,1,0.01210,0.02538,0.01655,0.23675,0.7768
depth,hoi4d,ZY20210800002_H2_C14_N44/S163_s02_T1_w0_f062,1,0.9256,1,0.01779,0.02441,0.01566,0.09054,0.7386
depth,hoi4d,ZY20210800002_H2_C14_N44/S163_s02_T1_w1_f091,1,0.9339,1,0.01250,0.03128,0.02770,0.07082,0.5754
depth,hoi4d,ZY20210800002_H2_C14_N44/S163_s02_T1_w2_f197,1,0.9253,1,0.01401,0.05612,0.04731,0.05936,0.8191
depth,hoi4d,ZY20210800002_H2_C14_N44/S163_s02_T1_w3_f218,1,0.9230,1,0.01190,0.03626,0.04000,0.07776,0.6120
depth,hoi4d,ZY20210800002_H2_C14_N44/S187_s02_T2_w0_f046,1,0.9399,1,0.01471,0.09599,0.08163,0.06293,0.6137
depth,hoi4d,ZY20210800002_H2_C14_N44/S187_s02_T2_w1_f071,1,0.9392,1,0.00879,0.01425,0.00992,0.12091,0.2957
depth,hoi4d,ZY20210800002_H2_C14_N44/S187_s02_T2_w2_f153,1,0.9296,1,0.00252,0.03720,0.03544,0.09439,0.6744
depth,hoi4d,ZY20210800002_H2_C17_N62/S253_s03_T2_w2_f050,1,0.9571,1,0.00778,0.12935,0.12617,0.46002,0.0000
depth,hoi4d,ZY20210800002_H2_C17_N62/S253_s03_T2_w4_f189,1,0.9523,1,0.01955,0.08280,0.06942,0.42042,0.2132
depth,hoi4d,ZY20210800002_H2_C17_N62/S253_s03_T2_w5_f221,1,0.9511,1,0.02406,0.08813,0.06632,0.39238,0.0556
depth,hoi4d,ZY20210800002_H2_C17_N63/S253_s04_T2_w1_f051,1,0.9395,1,0.03709,0.03051,0.05559,0.49901,0.1257
depth,hoi4d,ZY20210800002_H2_C17_N63/S253_s04_T2_w4_f191,1,0.9473,1,0.02636,0.04129,0.01565,0.44146,0.0287
depth,hoi4d,ZY20210800002_H2_C17_N63/S253_s04_T2_w5_f226,1,0.9525,1,0.01732,0.12863,0.11816,0.40519,0.0000
depth,hoi4d,ZY20210800002_H2_C1_N16/S339_s03_T2_w0_f023,0,0.0448,1,0.00546,0.05689,0.05904,0.08576,0.7622
depth,hoi4d,ZY20210800002_H2_C1_N16/S339_s03_T2_w1_f101,0,0.0417,1,0.01897,0.03351,0.01578,0.08514,0.6870
depth,hoi4d,ZY20210800002_H2_C1_N16/S339_s03_T2_w2_f174,0,0.0448,1,0.02201,0.06283,0.06439,0.28395,0.7284
depth,hoi4d,ZY20210800002_H2_C1_N16/S339_s03_T2_w3_f236,0,0.0433,1,0.01975,0.19042,0.17214,0.14244,0.6445
depth,hoi4d,ZY20210800002_H2_C1_N18/S339_s04_T2_w0_f021,0,0.0481,1,0.01587,0.04942,0.05986,0.10637,0.6486
depth,hoi4d,ZY20210800002_H2_C1_N18/S339_s04_T2_w1_f095,0,0.0484,1,0.01608,0.07843,0.06673,0.13257,0.4638
depth,hoi4d,ZY20210800002_H2_C1_N18/S339_s04_T2_w2_f170,0,0.0505,1,0.00227,0.08953,0.08754,0.27245,0.4688
depth,hoi4d,ZY20210800002_H2_C1_N18/S339_s04_T2_w3_f239,0,0.0508,1,0.00976,0.04238,0.03812,0.11716,0.4968
depth,hoi4d,ZY20210800002_H2_C1_N29/S87_s05_T3_w0_f015,0,0.0469,1,0.02935,0.03615,0.01330,0.10555,0.5901
depth,hoi4d,ZY20210800002_H2_C1_N29/S87_s05_T3_w1_f079,0,0.0548,1,0.01486,0.08884,0.07506,0.10716,0.8218
depth,hoi4d,ZY20210800002_H2_C1_N29/S87_s05_T3_w2_f148,0,0.0485,1,0.00258,0.03043,0.02976,0.22871,0.7823
depth,hoi4d,ZY20210800002_H2_C1_N29/S87_s05_T3_w3_f215,0,0.0494,1,0.02221,0.03154,0.03071,0.08666,0.7487
depth,hoi4d,ZY20210800002_H2_C1_N37/S88_s04_T3_w0_f022,0,0.0427,1,0.01564,0.04596,0.04796,0.05377,0.5693
depth,hoi4d,ZY20210800002_H2_C1_N37/S88_s04_T3_w1_f092,0,0.0466,1,0.02046,0.03236,0.01336,0.05519,0.4902
depth,hoi4d,ZY20210800002_H2_C1_N37/S88_s04_T3_w2_f155,0,0.0453,1,0.02158,0.04016,0.03518,0.11039,0.4947
depth,hoi4d,ZY20210800002_H2_C1_N37/S88_s04_T3_w3_f220,0,0.0387,1,0.04101,0.08506,0.08200,0.06302,0.2540
depth,hoi4d,ZY20210800002_H2_C1_N38/S88_s04_T3_w0_f023,0,0.0430,1,0.02578,0.04845,0.05142,0.06618,0.5551
depth,hoi4d,ZY20210800002_H2_C1_N38/S88_s04_T3_w1_f104,0,0.0494,1,0.02955,0.03414,0.01387,0.08043,0.5281
depth,hoi4d,ZY20210800002_H2_C1_N38/S88_s04_T3_w2_f164,0,0.0461,1,0.02281,0.06950,0.07493,0.12860,0.6166
depth,hoi4d,ZY20210800002_H2_C1_N38/S88_s04_T3_w3_f225,0,0.0542,1,0.02347,0.07515,0.05244,0.09821,0.2644
depth,hoi4d,ZY20210800002_H2_C1_N41/S94_s01_T3_w0_f017,0,0.0417,1,0.01414,0.10034,0.09207,0.09798,0.1225
depth,hoi4d,ZY20210800002_H2_C1_N41/S94_s01_T3_w2_f164,0,0.0447,1,0.01181,0.05826,0.05968,0.38445,0.1594
depth,hoi4d,ZY20210800002_H2_C1_N41/S94_s01_T3_w3_f243,0,0.0494,1,0.00501,0.06055,0.05795,0.13360,0.3221
depth,hoi4d,ZY20210800002_H2_C4_N27/S24_s01_T1_w0_f036,0,0.0446,1,0.01911,0.10675,0.09511,0.14434,0.5400
depth,hoi4d,ZY20210800002_H2_C4_N27/S24_s01_T1_w1_f095,0,0.0505,1,0.01707,0.04199,0.04136,0.16173,0.4479
depth,hoi4d,ZY20210800002_H2_C4_N27/S24_s01_T1_w2_f157,0,0.0471,1,0.01228,0.06498,0.07302,0.14230,0.6770
depth,hoi4d,ZY20210800002_H2_C4_N27/S24_s01_T1_w3_f210,0,0.0462,1,0.00305,0.07739,0.07463,0.13195,0.5430
depth,hoi4d,ZY20210800002_H2_C4_N27/S24_s01_T2_w0_f037,0,0.0462,1,0.01229,0.08314,0.07090,0.14307,0.2659
depth,hoi4d,ZY20210800002_H2_C4_N27/S24_s01_T2_w1_f102,1,0.9511,1,0.01423,0.10530,0.10139,0.17009,0.2178
depth,hoi4d,ZY20210800002_H2_C4_N27/S24_s01_T2_w2_f176,0,0.0477,1,0.00744,0.03359,0.04087,0.21097,0.1145
depth,hoi4d,ZY20210800002_H2_C4_N27/S24_s01_T2_w3_f241,0,0.0514,1,0.00897,0.02698,0.01840,0.10448,0.2280
depth,hoi4d,ZY20210800002_H2_C6_N19/S245_s05_T2_w0_f048,1,0.9428,1,0.02232,0.05173,0.07320,0.17686,0.7416
depth,hoi4d,ZY20210800002_H2_C6_N19/S245_s05_T2_w1_f084,1,0.9454,1,0.02414,0.06277,0.04049,0.16790,0.6570
depth,hoi4d,ZY20210800002_H2_C6_N19/S245_s05_T2_w2_f171,1,0.9447,1,0.02258,0.05220,0.07234,0.13970,0.7894
depth,hoi4d,ZY20210800002_H2_C6_N19/S43_s01_T1_w0_f033,1,0.9431,1,0.00656,0.01439,0.01225,0.09389,0.7049
depth,hoi4d,ZY20210800002_H2_C6_N19/S43_s01_T1_w1_f091,1,0.9377,1,0.00953,0.05131,0.04732,0.11563,0.7573
depth,hoi4d,ZY20210800002_H2_C6_N19/S43_s01_T1_w2_f160,1,0.9428,1,0.00702,0.00491,0.00553,0.08994,0.7171
depth,hoi4d,ZY20210800002_H2_C6_N19/S43_s01_T1_w3_f212,1,0.9378,1,0.00903,0.04747,0.04509,0.10530,0.7200
