model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p,verb,hinge_point_offset_frac
dense,waffleiron/waffleiron,38.177,141.823,0.9676,1.8342,0.3752,2.901,close,0.4279
dense,waffleiron/waffleiron,36.956,36.956,0.9410,3.2932,0.0887,0.117,open,0.8087
dense,waffleiron/waffleiron,13.703,166.297,0.9563,2.2832,0.3718,2.961,close,0.4552
dense,waffleiron/waffleiron,29.680,150.320,0.9452,2.3375,0.0432,0.600,open,0.0555
dense,waffleiron/waffleiron,27.198,152.802,0.9618,2.0447,0.2134,2.992,close,0.4092
dense,waffleiron/waffleiron,62.339,62.339,0.9405,2.6185,0.1556,0.249,open,0.8588
dense,waffleiron/waffleiron,59.521,120.479,0.9561,0.8356,0.4082,2.173,close,0.4372
dense,waffleiron/waffleiron,51.331,51.331,0.9409,2.1136,0.1840,0.571,open,0.5170
dense,waffleiron/waffleiron,53.106,126.894,0.9450,0.7686,0.4617,2.113,close,0.5048
dense,waffleiron/waffleiron,26.599,26.599,0.9276,2.7785,0.0808,0.389,open,0.1042
dense,waffleiron/waffleiron,51.308,128.692,0.9551,1.1310,0.3630,2.573,close,0.4275
dense,waffleiron/waffleiron,9.257,170.743,0.9431,0.5264,0.2974,0.530,open,0.8227
dense,waffleiron/waffleiron,50.594,129.406,0.9060,0.5513,0.3179,1.784,close,0.4890
dense,waffleiron/waffleiron,42.476,137.524,0.9468,1.4135,0.2795,0.780,open,0.7051
dense,waffleiron/waffleiron,33.714,33.714,0.9427,1.2794,0.0060,2.188,close,0.3830
dense,waffleiron/waffleiron,82.228,82.228,0.9561,0.3011,0.2202,1.450,open,0.3142
dense,waffleiron/waffleiron,36.546,143.454,0.9508,1.2297,0.4231,2.409,close,0.6124
dense,laptop/laptop,5.574,174.426,0.9499,0.6476,0.0136,1.406,open,0.1238
dense,laptop/laptop,7.019,172.981,0.9486,1.0642,0.0465,1.445,open,0.1111
dense,laptop/laptop,4.635,175.365,0.9510,0.8506,0.1097,2.010,open,0.1685
dense,laptop/laptop,28.443,151.557,0.9578,1.5251,0.1696,1.961,close,0.3132
dense,laptop/laptop,11.091,168.909,0.9479,1.2641,0.0004,1.821,open,0.1220
dense,laptop/laptop,22.541,157.459,0.9496,1.9322,0.0591,2.126,close,0.4576
dense,laptop/laptop,2.982,177.018,0.9459,1.0680,0.1124,1.914,open,0.1403
dense,laptop/laptop,10.922,169.078,0.9452,0.6759,0.0498,1.795,open,0.0391
dense,laptop/laptop,50.110,129.890,0.9457,1.5284,0.3168,2.388,close,0.5522
dense,laptop/laptop,6.678,173.322,0.9471,0.5987,0.0215,1.629,open,0.0705
dense,laptop/laptop,18.363,161.637,0.9407,0.4332,0.1140,1.145,open,0.6915
dense,laptop/laptop,45.703,134.297,0.9567,1.4928,0.3158,2.094,close,0.5791
dense,laptop/laptop,3.991,176.009,0.9484,0.7504,0.0081,1.598,open,0.0859
dense,laptop/laptop,16.013,163.987,0.9440,0.6363,0.1423,1.387,open,0.2087
dense,laptop/laptop,30.513,149.487,0.9521,1.2915,0.2603,2.260,close,0.3169
dense,laptop/laptop,21.279,158.721,0.9469,0.8404,0.0567,2.117,open,0.1109
dense,laptop/laptop,4.132,175.868,0.9470,0.7100,0.0059,1.503,open,0.0452
dense,box/box,40.130,139.870,0.9534,1.1545,0.0030,1.405,open,0.4250
dense,box/box,8.142,171.858,0.9531,0.6963,0.1365,1.488,open,0.2149
dense,box/box,7.574,172.426,0.9336,1.4310,0.0999,2.239,close,0.2346
dense,box/box,51.424,128.576,0.9502,0.1076,0.2586,1.485,open,0.1630
dense,box/box,2.408,177.592,0.9319,2.1706,0.1007,2.381,close,0.3572
dense,box/box,26.375,153.625,0.9400,0.5067,0.1791,1.366,open,0.2630
dense,box/box,22.358,157.642,0.9446,1.6159,0.1277,2.104,close,0.7639
dense,box/box,32.248,147.752,0.9512,1.0548,0.0284,1.396,open,0.1536
dense,box/box,3.656,176.344,0.9386,0.7073,0.0556,1.558,open,0.2402
dense,box/box,1.581,178.419,0.9563,0.6725,0.1412,1.185,open,0.1642
dense,box/box,12.487,167.513,0.9428,1.1982,0.0474,1.917,close,0.0441
dense,notebook/notebook,30.197,30.197,0.9372,0.9360,0.0434,0.599,open,0.5331
dense,notebook/notebook,43.213,43.213,0.9461,0.7639,0.0901,0.590,open,0.6467
dense,notebook/notebook,89.947,90.053,0.9378,0.2328,0.1113,0.653,open,0.4119
dense,notebook/notebook,88.150,88.150,0.9328,0.2668,0.1079,0.585,open,0.5082
dense,notebook/notebook,39.361,39.361,0.9514,1.0305,0.6030,0.660,close,0.6261
dense,notebook/notebook,7.330,7.330,0.9358,1.0936,0.0660,0.590,open,0.3545
dense,notebook/notebook,40.193,40.193,0.9648,0.8682,0.6256,0.602,close,0.6253
dense,notebook/notebook,50.256,50.256,0.9439,1.0035,0.0209,0.660,open,0.5872
dense,notebook/notebook,27.760,27.760,0.9576,0.7758,0.5302,0.219,close,0.4917
dense,notebook/notebook,10.452,10.452,0.9387,1.0342,0.0897,0.542,open,0.3282
dense,notebook/notebook,14.005,14.005,0.9637,0.8068,0.6167,0.728,close,0.5794
dense,notebook/notebook,23.089,23.089,0.9239,1.0953,0.0865,0.679,open,0.4156
dense,notebook/notebook,72.872,107.128,0.9233,0.3350,0.0817,0.556,open,0.3537
dense,notebook/notebook,23.910,23.910,0.9549,0.8877,0.5413,0.659,close,0.5919
dense,notebook/notebook,13.470,13.470,0.9414,1.0783,0.0835,0.627,open,0.3279
dense,notebook/notebook,19.053,19.053,0.9648,0.8351,0.5599,0.553,close,0.5470
dense,notebook/notebook,20.353,20.353,0.9471,0.8255,0.0863,0.501,open,0.3025
dense,notebook/notebook,42.354,42.354,0.9632,0.5954,0.5480,0.379,close,0.6152
dense,notebook/notebook,11.976,11.976,0.9401,1.4059,0.0712,0.386,open,0.3274
dense,notebook/notebook,19.499,19.499,0.9603,0.9423,0.5750,0.411,close,0.5868
dense,phone/phone,34.849,145.151,0.8966,0.2650,0.1155,1.442,close,0.1518
dense,phone/phone,42.362,137.638,0.9323,0.8680,0.1387,1.939,open,0.1385
dense,phone/phone,34.840,145.160,0.9163,0.3591,0.2625,1.523,close,0.2871
dense,phone/phone,62.852,117.148,0.9513,0.7518,0.1304,1.856,open,0.2242
dense,phone/phone,27.461,152.539,0.7832,0.5941,0.0394,1.649,close,0.1003
dense,phone/phone,83.684,83.684,0.9511,0.5935,0.1271,1.755,open,0.1123
dense,phone/phone,48.507,131.493,0.8996,0.6249,0.1374,1.877,close,0.2409
dense,phone/phone,19.319,19.319,0.9396,0.7351,0.0065,1.823,open,0.3333
dense,phone/phone,10.934,169.066,0.9662,0.8992,0.1017,2.117,close,0.1983
dense,phone/phone,30.438,149.562,0.9466,0.8323,0.1517,2.124,open,0.2525
dense,phone/phone,69.815,69.815,0.9475,0.6933,0.0876,2.154,close,0.1215
dense,phone/phone,25.549,154.451,0.9412,0.8463,0.0658,2.027,open,0.3731
dense,phone/phone,49.465,130.535,0.9492,1.3032,0.0411,2.222,close,0.4559
dense,phone/phone,16.459,163.541,0.9433,0.6685,0.0552,2.053,open,0.3445
dense,phone/phone,82.698,97.302,0.9621,1.5157,0.2074,2.504,close,0.3639
dense,phone/phone,84.409,95.591,0.9314,0.7901,0.1809,1.583,open,0.1923
dense,laptop/laptop,5.382,174.618,0.9462,0.5597,0.0989,1.480,open,0.1619
dense,laptop/laptop,32.311,147.689,0.9564,1.5522,0.3054,2.285,close,0.3586
dense,laptop/laptop,51.570,128.430,0.9580,0.7796,0.2123,1.864,close,0.8856
dense,laptop/laptop,40.483,139.517,0.9443,0.3109,0.0170,1.963,open,0.0660
dense,laptop/laptop,18.943,161.057,0.9483,0.4799,0.2693,1.456,close,0.2598
dense,laptop/laptop,20.674,159.326,0.9495,0.6663,0.2544,1.974,open,0.4062
dense,laptop/laptop,33.999,146.001,0.9569,1.2970,0.3223,2.206,close,0.4058
dense,laptop/laptop,10.684,169.316,0.9465,0.7250,0.1029,1.702,open,0.1655
dense,laptop/laptop,8.791,171.209,0.9508,0.5417,0.2538,1.832,close,0.2346
dense,laptop/laptop,20.340,159.660,0.9457,1.1393,0.0289,1.760,open,0.3892
dense,laptop/laptop,11.933,168.067,0.9448,1.0053,0.0277,1.719,open,0.4916
dense,laptop/laptop,17.011,162.989,0.9510,0.6721,0.3097,1.423,close,0.3728
dense,laptop/laptop,9.753,170.247,0.9507,0.4743,0.0783,1.439,open,0.1958
dense,laptop/laptop,28.608,151.392,0.9551,1.3127,0.2880,1.929,close,0.3507
dense,microwave/microwave,38.853,38.853,0.9599,0.4029,0.0881,1.443,open,0.0969
dense,microwave/microwave,83.030,83.030,0.9593,0.3329,0.1532,1.383,close,0.2281
dense,microwave/microwave,43.937,43.937,0.9689,0.3712,0.1374,1.397,open,0.1442
dense,microwave/microwave,78.269,101.731,0.9574,0.2531,0.0520,1.277,close,0.2924
dense,microwave/microwave,39.967,39.967,0.9590,0.4384,0.0703,1.208,close,0.0693
dense,microwave/microwave,39.639,39.639,0.9589,0.3409,0.0350,1.377,open,0.0605
dense,microwave/microwave,46.541,46.541,0.9538,0.5909,0.1690,1.139,close,0.1773
dense,microwave/microwave,42.422,42.422,0.9633,0.2919,0.1410,1.428,open,0.1300
dense,microwave/microwave,64.645,115.355,0.9564,0.3259,0.0206,1.276,close,0.3626
dense,microwave/microwave,40.218,40.218,0.9634,0.4046,0.1208,1.632,open,0.1834
dense,microwave/microwave,50.504,129.496,0.9593,0.2952,0.2800,1.358,close,0.3134
dense,microwave/microwave,41.603,41.603,0.9609,0.3666,0.0990,1.380,open,0.0823
dense,microwave/microwave,83.350,96.650,0.9549,0.3509,0.0777,1.290,close,0.2986
dense,microwave/microwave,30.092,30.092,0.9638,0.4141,0.0930,1.498,open,0.0884
dense,microwave/microwave,16.406,163.594,0.9370,0.2554,0.0220,1.426,close,0.2001
dense,microwave/microwave,31.211,31.211,0.9790,0.3707,0.1476,1.329,open,0.1854
dense,microwave/microwave,43.476,136.524,0.9371,0.4698,0.2043,1.142,close,0.3809
dense,microwave/microwave,30.771,30.771,0.9597,0.5194,0.0856,1.408,open,0.1024
dense,microwave/microwave,34.045,145.955,0.9503,0.2120,0.1776,1.221,close,0.3766
dense,microwave/microwave,88.642,88.642,0.9557,0.4616,0.0175,1.321,close,0.1604
dense,microwave/microwave,35.140,35.140,0.9566,0.3249,0.0396,1.538,open,0.0867
dense,microwave/microwave,77.211,102.789,0.9552,0.2882,0.0375,1.229,close,0.2899
dense,microwave/microwave,38.403,38.403,0.9629,0.3419,0.1341,1.494,open,0.1309
dense,microwave/microwave,49.635,130.365,0.9567,0.2260,0.2471,1.233,close,0.3412
dense,microwave/microwave,35.723,35.723,0.9603,0.4063,0.1079,1.546,open,0.1133
dense,microwave/microwave,88.200,91.800,0.9589,0.4037,0.1873,1.315,close,0.1316
dense,microwave/microwave,29.545,29.545,0.9660,0.2975,0.0663,1.422,open,0.0854
dense,microwave/microwave,21.049,21.049,0.9567,0.1689,0.1119,1.292,close,0.1871
dense,microwave/microwave,29.343,29.343,0.9667,0.3931,0.0368,1.526,open,0.0515
dense,microwave/microwave,25.601,154.399,0.4367,0.4709,0.0702,1.270,close,0.2947
dense,microwave/microwave,34.296,34.296,0.9585,0.5034,0.0437,1.273,close,0.0669
dense,notebook/notebook,71.056,71.056,0.9405,1.0843,0.1968,0.312,open,0.9642
dense,notebook/notebook,12.754,12.754,0.9420,0.7439,0.5050,0.476,close,0.7433
dense,notebook/notebook,57.086,57.086,0.9357,1.6631,0.1559,0.144,open,0.4277
dense,notebook/notebook,22.810,22.810,0.9368,0.7780,0.4829,0.529,close,0.5685
dense,notebook/notebook,83.794,83.794,0.9327,0.5172,0.0934,0.448,open,1.0555
dense,notebook/notebook,28.253,28.253,0.9419,0.7799,0.5234,0.326,close,0.6848
dense,notebook/notebook,80.141,80.141,0.9413,1.6578,0.1846,0.285,open,0.3380
dense,notebook/notebook,4.808,4.808,0.9281,1.4793,0.1108,0.324,open,0.2267
dense,notebook/notebook,28.992,28.992,0.9526,0.9942,0.4511,0.165,close,0.6021
dense,notebook/notebook,51.199,51.199,0.9379,1.6939,0.1262,0.132,open,0.2974
dense,notebook/notebook,74.645,74.645,0.9591,0.9655,0.0132,0.391,open,0.9247
dense,notebook/notebook,13.610,13.610,0.9475,0.7517,0.5342,0.523,close,0.5807
dense,notebook/notebook,10.936,10.936,0.9435,0.8325,0.5157,0.471,close,0.5339
dense,notebook/notebook,68.347,68.347,0.9536,1.0695,0.0428,0.518,open,0.5097
dense,notebook/notebook,19.600,19.600,0.9407,0.8142,0.4902,0.415,close,0.5074
dense,notebook/notebook,41.404,41.404,0.9381,1.5790,0.2299,0.250,open,0.1233
dense,phone/phone,30.662,149.338,0.9550,0.9916,0.1343,2.249,close,0.2868
dense,phone/phone,37.264,142.736,0.9358,0.3949,0.0834,1.621,open,0.1476
dense,phone/phone,74.528,74.528,0.9606,0.6908,0.0218,2.081,close,0.0484
dense,phone/phone,48.034,131.966,0.9430,0.6611,0.0809,1.957,open,0.4113
dense,phone/phone,73.072,106.928,0.9520,0.7129,0.0294,2.192,close,0.4910
dense,phone/phone,73.293,73.293,0.9470,0.7613,0.3307,1.771,open,0.3477
dense,phone/phone,34.285,145.715,0.9559,0.7033,0.0485,1.680,close,0.1153
dense,phone/phone,45.270,134.730,0.9508,0.5378,0.0578,1.869,open,0.1457
dense,phone/phone,11.340,168.660,0.9550,1.1001,0.1046,2.310,close,0.4083
dense,phone/phone,70.032,70.032,0.9418,0.7225,0.2041,2.075,open,0.1416
dense,phone/phone,46.757,133.243,0.9311,0.7397,0.1168,1.826,close,0.3379
dense,phone/phone,65.816,114.184,0.9321,0.7972,0.0801,2.031,open,0.4610
dense,phone/phone,72.168,107.832,0.9294,0.8869,0.2135,2.149,close,0.3146
dense,phone/phone,59.073,120.927,0.9383,0.5784,0.0663,2.057,open,0.1905
dense,phone/phone,64.328,115.672,0.9578,1.1490,0.0861,2.165,close,0.4682
dense,phone/phone,48.112,131.888,0.9387,0.5233,0.0228,1.828,open,0.1656
dense,phone/phone,20.267,159.733,0.9555,0.4590,0.0383,1.637,close,0.2086
dense,phone/phone,56.797,123.203,0.9511,0.8502,0.1305,1.879,open,0.2330
dense,espressomachine/espressomachine,44.370,44.370,0.9501,2.8085,0.1217,0.294,open,0.4508
dense,espressomachine/espressomachine,64.734,115.266,0.9462,1.0705,0.1316,2.696,close,0.4543
dense,espressomachine/espressomachine,45.826,45.826,0.9365,2.7099,0.1044,0.173,open,0.4221
dense,espressomachine/espressomachine,49.987,130.013,0.9466,0.4117,0.1515,2.216,close,0.4099
dense,espressomachine/espressomachine,44.641,44.641,0.9495,2.8282,0.1219,0.336,open,0.3876
dense,espressomachine/espressomachine,60.234,119.766,0.9246,0.9517,0.0353,2.238,close,0.6300
dense,espressomachine/espressomachine,48.548,48.548,0.9484,2.6310,0.0913,0.394,open,0.3605
dense,espressomachine/espressomachine,71.784,108.216,0.9316,1.2915,0.0279,2.644,close,0.4601
dense,espressomachine/espressomachine,45.984,45.984,0.9477,2.5173,0.1184,0.597,open,0.3370
dense,espressomachine/espressomachine,53.562,126.438,0.9391,1.2384,0.0440,2.410,close,0.7019
dense,espressomachine/espressomachine,44.881,44.881,0.9435,2.9397,0.1017,0.267,open,0.3759
dense,espressomachine/espressomachine,64.362,115.638,0.9507,1.3233,0.0817,2.666,close,0.6400
dense,espressomachine/espressomachine,41.550,41.550,0.9410,3.0319,0.1226,0.344,open,0.4464
dense,espressomachine/espressomachine,63.551,116.449,0.9451,1.2809,0.1039,2.803,close,0.6031
dense,espressomachine/espressomachine,40.365,40.365,0.9477,1.6663,0.1140,1.382,open,0.1529
dense,espressomachine/espressomachine,37.571,142.429,0.9461,0.3018,0.1701,2.406,close,0.3436
dense,espressomachine/espressomachine,42.803,42.803,0.9503,3.0573,0.1174,0.274,open,0.4128
dense,espressomachine/espressomachine,68.386,111.614,0.9510,0.8598,0.1149,2.376,close,0.3693
dense,espressomachine/espressomachine,44.136,44.136,0.9422,2.4740,0.1219,1.011,open,0.2440
dense,espressomachine/espressomachine,57.767,122.233,0.9499,0.9613,0.1119,2.600,close,0.5713
dense,espressomachine/espressomachine,42.886,42.886,0.9461,2.8754,0.1126,0.228,open,0.4519
dense,espressomachine/espressomachine,52.245,127.755,0.9440,0.9043,0.1150,2.564,close,0.5572
dense,espressomachine/espressomachine,41.662,41.662,0.9434,2.8952,0.1229,0.326,open,0.4796
dense,espressomachine/espressomachine,58.008,121.992,0.9474,1.3227,0.1275,2.788,close,0.5639
dense,espressomachine/espressomachine,42.157,42.157,0.9436,2.3790,0.0939,0.818,open,0.3374
dense,espressomachine/espressomachine,66.318,113.682,0.9477,1.6778,0.0518,2.771,close,0.7399
dense,espressomachine/espressomachine,37.247,37.247,0.9469,2.6720,0.1382,0.558,open,0.4444
dense,espressomachine/espressomachine,60.975,119.025,0.9492,1.3809,0.1203,2.842,close,0.5208
dense,espressomachine/espressomachine,42.067,42.067,0.9437,2.7401,0.1254,0.603,open,0.3624
dense,espressomachine/espressomachine,36.667,143.333,0.9469,0.9120,0.1458,3.004,close,0.4010
dense,espressomachine/espressomachine,35.532,35.532,0.9471,1.7129,0.1099,1.671,open,0.2480
dense,espressomachine/espressomachine,54.729,125.271,0.9463,0.8161,0.1431,2.612,close,0.5010
dense,espressomachine/espressomachine,42.830,42.830,0.9392,2.9445,0.1183,0.272,open,0.4214
dense,espressomachine/espressomachine,46.047,133.953,0.9461,0.2589,0.1506,2.067,close,0.3672
dense,espressomachine/espressomachine,42.041,42.041,0.9417,3.0666,0.1316,0.244,open,0.4339
dense,espressomachine/espressomachine,48.098,131.902,0.9342,0.7996,0.1650,2.929,close,0.4593
dense,espressomachine/espressomachine,41.649,41.649,0.9489,1.6969,0.1199,1.871,open,0.1691
dense,espressomachine/espressomachine,42.442,42.442,0.9423,2.4427,0.1206,0.958,open,0.3112
dense,espressomachine/espressomachine,50.132,129.868,0.9482,0.6169,0.1525,2.515,close,0.5061
dense,espressomachine/espressomachine,43.109,43.109,0.9438,2.8367,0.1146,0.190,open,0.4599
dense,phone/phone,12.024,167.976,0.9648,0.9987,0.0536,2.383,close,0.2343
dense,phone/phone,23.744,156.256,0.9442,0.7528,0.1955,1.878,open,0.4400
dense,phone/phone,9.905,170.095,0.9667,0.7140,0.0563,1.822,close,0.1184
dense,phone/phone,32.591,147.409,0.9431,0.7263,0.0063,2.124,open,0.3297
dense,phone/phone,36.897,143.103,0.9618,0.6694,0.1720,2.068,close,0.2880
dense,phone/phone,20.681,159.319,0.9339,1.1173,0.2085,1.914,open,0.4856
dense,phone/phone,23.822,156.178,0.9535,0.6236,0.1086,1.866,close,0.2038
dense,phone/phone,45.745,134.255,0.9400,0.8713,0.0561,2.108,open,0.0787
dense,phone/phone,48.531,131.469,0.9644,0.9606,0.1718,2.237,close,0.3952
dense,phone/phone,43.533,136.467,0.9368,0.5611,0.0405,2.053,open,0.3597
dense,phone/phone,29.774,150.226,0.9533,0.5513,0.1103,1.917,close,0.2462
dense,phone/phone,82.246,97.754,0.9472,0.8451,0.2083,1.773,open,0.2023
dense,phone/phone,32.173,147.827,0.9596,0.7515,0.0054,2.205,close,0.3956
dense,phone/phone,28.372,151.628,0.9418,0.8751,0.1322,1.943,open,0.3172
dense,phone/phone,33.474,146.526,0.9630,0.7670,0.1792,2.020,close,0.2832
dense,phone/phone,27.015,152.985,0.9326,0.8641,0.0625,2.052,open,0.0661
dense,phone/phone,10.176,169.824,0.9591,0.5809,0.0984,1.977,close,0.1473
dense,phone/phone,26.488,153.512,0.9357,0.9125,0.0730,1.969,open,0.4334
dense,phone/phone,22.588,157.412,0.9590,0.8034,0.0566,2.181,close,0.1259
dense,phone/phone,53.687,126.313,0.9510,0.7232,0.0842,2.356,open,0.2264
dense,phone/phone,14.944,165.056,0.9387,1.0164,0.0280,2.036,close,0.0518
dense,phone/phone,23.287,156.713,0.9309,0.9453,0.1132,2.000,open,0.2705
dense,phone/phone,21.808,158.192,0.9575,0.6797,0.1540,1.902,close,0.3135
dense,phone/phone,51.107,128.893,0.9527,0.6205,0.1855,1.539,open,0.1597
dense,phone/phone,36.809,143.191,0.9605,0.9452,0.1347,2.321,close,0.4165
dense,phone/phone,30.074,149.926,0.9496,0.5733,0.0339,2.113,open,0.2800
dense,phone/phone,36.246,143.754,0.9528,0.9879,0.1329,2.068,close,0.3831
dense,phone/phone,35.749,144.251,0.9415,0.6515,0.0034,2.155,open,0.1931
dense,phone/phone,5.018,174.982,0.9640,1.3681,0.1195,2.490,close,0.4265
dense,phone/phone,40.054,139.946,0.9428,0.7496,0.0525,2.182,open,0.1155
dense,phone/phone,21.454,158.546,0.9635,0.7129,0.1805,1.949,close,0.2448
dense,phone/phone,50.313,129.687,0.9501,0.5298,0.2288,1.890,open,0.4494
dense,phone/phone,47.203,132.797,0.9609,1.2765,0.1901,2.431,close,0.4528
dense,phone/phone,52.768,127.232,0.9575,0.6667,0.1278,1.876,open,0.1570
dense,scissors/scissors,72.713,107.287,0.9427,0.4908,0.1941,1.294,close,0.2573
dense,scissors/scissors,20.683,20.683,0.9365,0.8204,0.0088,0.985,open,0.3144
dense,scissors/scissors,76.834,103.166,0.9457,0.3070,0.1605,1.273,close,0.0594
dense,scissors/scissors,29.840,29.840,0.9290,0.5763,0.0337,1.003,open,0.1469
dense,scissors/scissors,75.823,104.177,0.9375,0.3250,0.1483,1.229,close,0.0912
dense,scissors/scissors,51.776,128.224,0.9463,0.3730,0.2088,1.321,close,0.2142
dense,scissors/scissors,18.616,18.616,0.9331,0.5627,0.1433,1.095,open,0.4651
dense,scissors/scissors,76.018,103.982,0.9443,0.2571,0.1763,1.396,close,0.1292
dense,scissors/scissors,58.248,58.248,0.9349,0.6538,0.0019,1.083,open,0.3048
dense,scissors/scissors,81.285,98.715,0.9365,0.3774,0.1378,1.260,close,0.1719
dense,scissors/scissors,78.732,101.268,0.9393,0.4692,0.1155,1.283,close,0.1118
dense,scissors/scissors,76.112,103.888,0.9370,0.3456,0.0368,1.302,close,0.1196
dense,scissors/scissors,77.766,102.234,0.9387,0.3030,0.1105,1.338,close,0.1490
dense,scissors/scissors,80.607,80.607,0.9378,0.1477,0.1331,1.342,close,0.1194
dense,scissors/scissors,30.163,30.163,0.9313,0.5903,0.0782,1.041,open,0.2176
dense,scissors/scissors,58.563,121.437,0.9553,0.1803,0.1287,1.351,close,0.2144
dense,scissors/scissors,74.667,105.333,0.9577,0.1488,0.1814,1.533,close,0.1676
dense,scissors/scissors,77.246,102.754,0.9368,0.1435,0.0661,1.488,close,0.0508
dense,scissors/scissors,83.491,96.509,0.9343,0.1558,0.0557,1.443,close,0.0731
dense,scissors/scissors,74.360,74.360,0.9272,0.4399,0.0207,1.067,open,0.3326
dense,scissors/scissors,86.611,93.389,0.9363,0.4071,0.0865,1.198,close,0.1621
dense,scissors/scissors,69.246,110.754,0.9469,0.1971,0.1164,1.460,close,0.0592
dense,scissors/scissors,67.753,112.247,0.9434,0.2697,0.1122,1.248,close,0.0469
dense,scissors/scissors,78.401,101.599,0.9337,0.1774,0.0823,1.435,close,0.0941
dense,scissors/scissors,69.702,110.298,0.9414,0.2431,0.1481,1.386,close,0.1112
