model,key,category,gt_type,moving,axis_unsigned_deg,axis_signed_deg,p_rev,type_ok,gt_hinge_to_point_frac
sf3d_only,P24_08/P24_08_77,P24,rot,,40.4762,40.4762,0.9197,1,0.3461
sf3d_only,P30_101/P30_101_263,P30,trans,,15.4452,15.4452,0.0575,1,nan
noproj,P01_03/P01_03_27,P01,rot,,55.9276,124.0724,0.9445,1,0.4161
noproj,P01_03/P01_03_4,P01,rot,,71.8152,71.8152,0.9467,1,0.7669
noproj,P02_07/P02_07_25,P02,rot,,77.5387,77.5387,0.9470,1,0.0693
noproj,P02_07/P02_07_47,P02,trans,,32.3588,147.6412,0.0538,1,nan
noproj,P02_09/P02_09_153,P02,trans,,33.1206,33.1206,0.0488,1,nan
noproj,P02_09/P02_09_163,P02,rot,,31.3278,31.3278,0.8653,1,0.2666
noproj,P02_09/P02_09_168,P02,rot,,41.0284,138.9716,0.9186,1,0.5991
noproj,P02_09/P02_09_187,P02,rot,,45.5211,134.4789,0.8658,1,0.2865
noproj,P02_09/P02_09_20,P02,trans,,15.4429,15.4429,0.0447,1,nan
noproj,P02_09/P02_09_262,P02,trans,,24.9067,24.9067,0.0537,1,nan
noproj,P02_09/P02_09_277,P02,rot,,73.0698,73.0698,0.4830,0,0.2732
noproj,P02_09/P02_09_387,P02,trans,,14.4712,14.4712,0.0513,1,nan
noproj,P02_121/P02_121_43,P02,trans,,41.4496,41.4496,0.0479,1,nan
noproj,P02_121/P02_121_44,P02,trans,,35.6305,35.6305,0.0539,1,nan
noproj,P02_121/P02_121_45,P02,trans,,57.4326,122.5674,0.0498,1,nan
noproj,P02_121/P02_121_57,P02,trans,,31.1429,31.1429,0.0453,1,nan
noproj,P02_121/P02_121_58,P02,trans,,26.0481,26.0481,0.0445,1,nan
noproj,P02_121/P02_121_95,P02,rot,,78.1216,78.1216,0.6561,1,0.0682
noproj,P04_33/P04_33_18,P04,trans,,27.5878,27.5878,0.0485,1,nan
noproj,P06_05/P06_05_125,P06,rot,,34.8673,34.8673,0.8455,1,0.1936
noproj,P06_05/P06_05_138,P06,rot,,26.0428,26.0428,0.8817,1,0.2788
noproj,P06_05/P06_05_176,P06,rot,,34.3901,34.3901,0.8858,1,0.2034
noproj,P06_05/P06_05_215,P06,rot,,8.1787,8.1787,0.8920,1,0.2725
noproj,P06_05/P06_05_48,P06,rot,,19.7047,19.7047,0.8434,1,0.2179
noproj,P06_05/P06_05_59,P06,rot,,47.0769,47.0769,0.8049,1,0.3638
noproj,P08_17/P08_17_117,P08,rot,,23.6158,23.6158,0.8992,1,0.0620
noproj,P08_17/P08_17_99,P08,trans,,30.1837,30.1837,0.0470,1,nan
noproj,P11_103/P11_103_45,P11,trans,,24.9547,24.9547,0.0457,1,nan
noproj,P11_103/P11_103_64,P11,trans,,28.7533,28.7533,0.0481,1,nan
noproj,P11_103/P11_103_66,P11,trans,,27.5857,27.5857,0.0472,1,nan
noproj,P11_104/P11_104_186,P11,trans,,24.9446,24.9446,0.0450,1,nan
noproj,P11_104/P11_104_96,P11,trans,,31.2180,31.2180,0.0492,1,nan
noproj,P12_02/P12_02_127,P12,rot,,57.8775,122.1225,0.9415,1,0.4080
noproj,P12_02/P12_02_18,P12,trans,,37.3194,37.3194,0.0477,1,nan
noproj,P18_02/P18_02_26,P18,rot,,30.3973,149.6027,0.8502,1,0.3450
noproj,P18_02/P18_02_28,P18,rot,,69.7447,69.7447,0.6866,1,0.2515
noproj,P20_03/P20_03_15,P20,rot,,40.8994,139.1006,0.9498,1,0.5268
noproj,P20_03/P20_03_54,P20,rot,,51.7824,51.7824,0.9522,1,0.2847
noproj,P22_107/P22_107_148,P22,trans,,74.3117,74.3117,0.0498,1,nan
noproj,P22_107/P22_107_225,P22,trans,,70.3665,109.6335,0.0483,1,nan
noproj,P22_107/P22_107_226,P22,trans,,34.3276,34.3276,0.0491,1,nan
noproj,P22_107/P22_107_227,P22,trans,,42.4810,42.4810,0.0479,1,nan
noproj,P22_107/P22_107_39,P22,trans,,68.6046,111.3954,0.0482,1,nan
noproj,P22_107/P22_107_50,P22,rot,,86.4597,93.5403,0.4453,0,0.1400
noproj,P22_107/P22_107_55,P22,rot,,34.0858,34.0858,0.9411,1,0.3501
noproj,P24_05/P24_05_109,P24,rot,,31.5420,31.5420,0.9490,1,0.1610
noproj,P24_05/P24_05_48,P24,rot,,31.1628,31.1628,0.9435,1,0.1257
noproj,P24_08/P24_08_113,P24,rot,,19.7092,19.7092,0.9472,1,0.2245
noproj,P24_08/P24_08_168,P24,rot,,48.6269,131.3731,0.9469,1,0.7616
noproj,P24_08/P24_08_174,P24,rot,,32.8013,32.8013,0.9436,1,0.0783
noproj,P24_08/P24_08_30,P24,rot,,39.3238,39.3238,0.9489,1,0.2409
noproj,P24_08/P24_08_77,P24,rot,,43.0215,136.9785,0.9500,1,0.3461
noproj,P30_101/P30_101_263,P30,trans,,30.5647,30.5647,0.0513,1,nan
dense,P01_03/P01_03_27,P01,rot,,70.7097,109.2903,0.3354,0,0.4161
dense,P01_03/P01_03_4,P01,rot,,24.4412,155.5588,0.9512,1,0.7669
dense,P02_07/P02_07_25,P02,rot,,17.3603,162.6397,0.9464,1,0.0693
dense,P02_07/P02_07_47,P02,trans,,29.1893,150.8107,0.0481,1,nan
dense,P02_09/P02_09_153,P02,trans,,16.0587,16.0587,0.0463,1,nan
dense,P02_09/P02_09_163,P02,rot,,40.7471,40.7471,0.9388,1,0.2666
dense,P02_09/P02_09_168,P02,rot,,54.6997,125.3003,0.8888,1,0.5991
dense,P02_09/P02_09_187,P02,rot,,31.4330,31.4330,0.9600,1,0.2865
dense,P02_09/P02_09_20,P02,trans,,7.0742,7.0742,0.0460,1,nan
dense,P02_09/P02_09_262,P02,trans,,3.6951,3.6951,0.0530,1,nan
dense,P02_09/P02_09_277,P02,rot,,24.8457,24.8457,0.9592,1,0.2732
dense,P02_09/P02_09_387,P02,trans,,5.1848,5.1848,0.0456,1,nan
dense,P02_121/P02_121_43,P02,trans,,65.8064,114.1936,0.0421,1,nan
dense,P02_121/P02_121_44,P02,trans,,19.6427,19.6427,0.0506,1,nan
dense,P02_121/P02_121_45,P02,trans,,32.7805,147.2195,0.0525,1,nan
dense,P02_121/P02_121_57,P02,trans,,79.4941,100.5059,0.0465,1,nan
dense,P02_121/P02_121_58,P02,trans,,63.6860,116.3140,0.0543,1,nan
dense,P02_121/P02_121_95,P02,rot,,70.4091,109.5909,0.9619,1,0.0682
dense,P04_33/P04_33_18,P04,trans,,21.5660,21.5660,0.0491,1,nan
dense,P06_05/P06_05_125,P06,rot,,65.7992,65.7992,0.9562,1,0.1936
dense,P06_05/P06_05_138,P06,rot,,66.5474,66.5474,0.9548,1,0.2788
dense,P06_05/P06_05_176,P06,rot,,77.9988,77.9988,0.9546,1,0.2034
dense,P06_05/P06_05_215,P06,rot,,62.1788,62.1788,0.9511,1,0.2725
dense,P06_05/P06_05_48,P06,rot,,73.2482,73.2482,0.9513,1,0.2179
dense,P06_05/P06_05_59,P06,rot,,67.2379,67.2379,0.9592,1,0.3638
dense,P08_17/P08_17_117,P08,rot,,56.6693,56.6693,0.8495,1,0.0620
dense,P08_17/P08_17_99,P08,trans,,15.9829,15.9829,0.0464,1,nan
dense,P11_103/P11_103_45,P11,trans,,23.3244,23.3244,0.0445,1,nan
dense,P11_103/P11_103_64,P11,trans,,19.6252,19.6252,0.0419,1,nan
dense,P11_103/P11_103_66,P11,trans,,33.4098,33.4098,0.0689,1,nan
dense,P11_104/P11_104_186,P11,trans,,28.5324,28.5324,0.0457,1,nan
dense,P11_104/P11_104_96,P11,trans,,20.6808,20.6808,0.0488,1,nan
dense,P12_02/P12_02_127,P12,rot,,60.9365,119.0635,0.9566,1,0.4080
dense,P12_02/P12_02_18,P12,trans,,30.8612,30.8612,0.0485,1,nan
dense,P18_02/P18_02_26,P18,rot,,21.3527,158.6473,0.9645,1,0.3450
dense,P18_02/P18_02_28,P18,rot,,76.3901,103.6099,0.9399,1,0.2515
dense,P20_03/P20_03_15,P20,rot,,67.2227,112.7773,0.9465,1,0.5268
dense,P20_03/P20_03_54,P20,rot,,29.2408,29.2408,0.9530,1,0.2847
dense,P22_107/P22_107_148,P22,trans,,89.9619,89.9619,0.0523,1,nan
dense,P22_107/P22_107_225,P22,trans,,89.8005,90.1995,0.0465,1,nan
dense,P22_107/P22_107_226,P22,trans,,73.9572,106.0428,0.0454,1,nan
dense,P22_107/P22_107_227,P22,trans,,11.0667,11.0667,0.0474,1,nan
dense,P22_107/P22_107_39,P22,trans,,84.8617,95.1383,0.0446,1,nan
dense,P22_107/P22_107_50,P22,rot,,21.7174,158.2826,0.9486,1,0.1400
dense,P22_107/P22_107_55,P22,rot,,43.8421,43.8421,0.9543,1,0.3501
dense,P24_05/P24_05_109,P24,rot,,45.0820,134.9180,0.9501,1,0.1610
dense,P24_05/P24_05_48,P24,rot,,31.1659,31.1659,0.9492,1,0.1257
dense,P24_08/P24_08_113,P24,rot,,16.4747,16.4747,0.9520,1,0.2245
dense,P24_08/P24_08_168,P24,rot,,39.4904,140.5096,0.9393,1,0.7616
dense,P24_08/P24_08_174,P24,rot,,38.2476,38.2476,0.9485,1,0.0783
dense,P24_08/P24_08_30,P24,rot,,38.3942,141.6058,0.9487,1,0.2409
dense,P24_08/P24_08_77,P24,rot,,40.0692,139.9308,0.9503,1,0.3461
dense,P30_101/P30_101_263,P30,trans,,61.8782,118.1218,0.0508,1,nan
