model,idx,key,gt_type,pred_type,p_rev,axis_signed_deg,axis_unsigned_deg,origin_line_err_m,origin_qstar_err_m,point3d_err_m,point2d_err_frac,mask_iou,z_p_m,radius_m
directloss,2,420693/42445168/7953.345/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0504,8.0009,8.0009,nan,nan,0.1187,0.0328,0.4687,2.3772,0.3832
sampledtraj,2,420693/42445168/7953.345/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0547,3.3122,3.3122,nan,nan,0.1046,0.0370,0.1290,2.2156,1.5042
dense,3,420693/42445168/7953.445/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0526,2.2811,2.2811,nan,nan,0.2776,0.0061,0.5682,2.4862,0.6187
l2anchor,3,420693/42445168/7953.445/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0564,5.0873,5.0873,nan,nan,0.3293,0.0300,0.6033,2.5458,0.3056
sf3d_only,3,420693/42445168/7953.445/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0498,5.7937,5.7937,nan,nan,0.0587,0.0255,0.5157,2.2044,0.5236
directloss,3,420693/42445168/7953.445/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0511,7.0168,7.0168,nan,nan,0.1133,0.0188,0.6130,2.3307,0.4145
sampledtraj,3,420693/42445168/7953.445/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0540,2.9426,2.9426,nan,nan,0.1388,0.0178,0.6084,2.1006,1.4847
dense,4,420693/42445168/7955.444/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0443,6.6251,6.6251,nan,nan,0.1589,0.0172,0.0997,1.6248,0.1953
l2anchor,4,420693/42445168/7955.444/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0666,21.3129,21.3129,nan,nan,0.4314,0.0174,0.1915,1.8584,0.1912
sf3d_only,4,420693/42445168/7955.444/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0492,19.8590,19.8590,nan,nan,0.1718,0.0114,0.3597,1.6382,0.0618
directloss,4,420693/42445168/7955.444/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0448,7.2583,7.2583,nan,nan,0.3073,0.0321,0.0678,1.7823,0.1475
sampledtraj,4,420693/42445168/7955.444/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0430,7.2337,7.2337,nan,nan,0.2964,0.0600,0.3110,1.7595,0.3015
dense,5,420693/42445168/7955.544/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0451,3.8096,3.8096,nan,nan,0.1754,0.0207,0.1681,1.6216,0.2222
l2anchor,5,420693/42445168/7955.544/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0626,13.7400,13.7400,nan,nan,0.2923,0.0096,0.3376,1.7262,0.1414
sf3d_only,5,420693/42445168/7955.544/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0425,15.3336,15.3336,nan,nan,0.0925,0.0065,0.5559,1.5548,0.0783
directloss,5,420693/42445168/7955.544/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0477,3.9259,3.9259,nan,nan,0.3389,0.0207,0.2523,1.7891,0.1282
sampledtraj,5,420693/42445168/7955.544/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0416,9.0503,9.0503,nan,nan,0.2193,0.0433,0.3065,1.6716,0.2402
dense,6,420693/42445168/7955.544/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0486,4.4551,4.4551,nan,nan,0.3415,0.0124,0.5776,1.8121,0.3051
l2anchor,6,420693/42445168/7955.544/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0447,4.6284,4.6284,nan,nan,0.4524,0.0118,0.6169,1.9148,0.3090
sf3d_only,6,420693/42445168/7955.544/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0537,4.9888,4.9888,nan,nan,0.2539,0.0044,0.6257,1.7284,0.4415
directloss,6,420693/42445168/7955.544/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0513,7.6704,7.6704,nan,nan,0.3006,0.0205,0.6221,1.7745,0.1436
sampledtraj,6,420693/42445168/7955.544/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0570,5.4938,5.4938,nan,nan,0.1882,0.0371,0.5406,1.6736,1.2172
dense,7,420693/42445168/7955.644/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0501,5.1641,5.1641,nan,nan,0.2916,0.0638,0.0000,1.7505,0.3928
l2anchor,7,420693/42445168/7955.644/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0634,15.7786,15.7786,nan,nan,0.2941,0.0174,0.1631,1.7056,0.1872
sf3d_only,7,420693/42445168/7955.644/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0384,15.5990,15.5990,nan,nan,0.1115,0.0094,0.4163,1.5522,0.0708
directloss,7,420693/42445168/7955.644/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0541,4.2009,4.2009,nan,nan,0.3991,0.0630,0.0000,1.8499,0.1066
sampledtraj,7,420693/42445168/7955.644/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0427,14.3500,14.3500,nan,nan,0.4618,0.1467,0.0484,1.8584,0.0746
dense,8,420693/42445168/7955.644/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0468,3.2266,3.2266,nan,nan,0.3003,0.0169,0.6329,1.7600,0.2708
l2anchor,8,420693/42445168/7955.644/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0418,4.8545,4.8545,nan,nan,0.4201,0.0099,0.6212,1.8708,0.3074
sf3d_only,8,420693/42445168/7955.644/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0554,4.3303,4.3303,nan,nan,0.2198,0.0291,0.5440,1.6911,0.4157
directloss,8,420693/42445168/7955.644/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0505,7.1317,7.1317,nan,nan,0.2562,0.0338,0.5951,1.7224,0.0758
sampledtraj,8,420693/42445168/7955.644/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0535,4.3515,4.3515,nan,nan,0.2337,0.0400,0.5507,1.7031,1.2184
dense,9,420693/42445168/7955.744/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0426,5.4250,5.4250,nan,nan,0.1628,0.0098,0.2605,1.5681,0.2188
l2anchor,9,420693/42445168/7955.744/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0573,13.4423,13.4423,nan,nan,0.3935,0.0105,0.3827,1.7681,0.1443
sf3d_only,9,420693/42445168/7955.744/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0430,13.1134,13.1134,nan,nan,0.0767,0.0088,0.4175,1.4908,0.0669
directloss,9,420693/42445168/7955.744/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0514,4.6521,4.6521,nan,nan,0.5202,0.0054,0.2879,1.8869,0.1075
sampledtraj,9,420693/42445168/7955.744/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0446,4.9574,4.9574,nan,nan,0.3163,0.0190,0.3578,1.7108,0.2688
dense,10,420693/42445168/7955.744/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0477,4.2810,4.2810,nan,nan,0.3203,0.0124,0.4880,1.7476,0.2770
l2anchor,10,420693/42445168/7955.744/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0397,4.0221,4.0221,nan,nan,0.4385,0.0056,0.5832,1.8613,0.2425
sf3d_only,10,420693/42445168/7955.744/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0531,4.0988,4.0988,nan,nan,0.1741,0.0111,0.6282,1.6178,0.3872
directloss,10,420693/42445168/7955.744/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0500,8.0082,8.0082,nan,nan,0.2086,0.0088,0.4990,1.6424,0.0680
sampledtraj,10,420693/42445168/7955.744/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0583,5.5967,5.5967,nan,nan,0.1830,0.0206,0.6305,1.6257,1.1566
dense,11,420693/42445168/7955.844/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0433,20.0823,20.0823,nan,nan,0.2008,0.1465,0.0000,1.4802,0.2953
l2anchor,11,420693/42445168/7955.844/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0607,8.9442,8.9442,nan,nan,0.2741,0.0114,0.2850,1.6340,0.1807
sf3d_only,11,420693/42445168/7955.844/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0600,12.2832,12.2832,nan,nan,0.0982,0.0084,0.4621,1.4830,0.0530
directloss,11,420693/42445168/7955.844/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0540,16.2472,16.2472,nan,nan,0.4707,0.0647,0.0000,1.8443,0.3542
sampledtraj,11,420693/42445168/7955.844/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0454,27.3869,27.3869,nan,nan,0.3911,0.1922,0.0870,1.6685,0.1177
dense,12,420693/42445168/7955.844/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0457,3.9417,3.9417,nan,nan,0.2498,0.0364,0.5242,1.6434,0.2591
l2anchor,12,420693/42445168/7955.844/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0419,6.4601,6.4601,nan,nan,0.4723,0.0059,0.5223,1.8702,0.1935
sf3d_only,12,420693/42445168/7955.844/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0538,3.8653,3.8653,nan,nan,0.1477,0.0031,0.6503,1.5639,0.3928
directloss,12,420693/42445168/7955.844/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0473,3.8082,3.8082,nan,nan,0.3071,0.0259,0.5219,1.7074,0.1798
sampledtraj,12,420693/42445168/7955.844/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0573,3.9989,3.9989,nan,nan,0.2157,0.0023,0.6689,1.6283,1.1725
dense,13,420693/42445168/7955.944/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0466,3.2628,3.2628,nan,nan,0.2720,0.0116,0.3943,1.6481,0.3144
l2anchor,13,420693/42445168/7955.944/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0447,7.5680,7.5680,nan,nan,0.3414,0.0125,0.4532,1.7115,0.0800
sf3d_only,13,420693/42445168/7955.944/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0442,3.6776,3.6776,nan,nan,0.1245,0.0063,0.4418,1.5103,0.4075
directloss,13,420693/42445168/7955.944/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0442,1.8097,1.8097,nan,nan,0.2392,0.0046,0.3915,1.6175,0.2461
sampledtraj,13,420693/42445168/7955.944/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0602,4.3488,4.3488,nan,nan,0.1559,0.0046,0.5207,1.5393,1.1127
dense,14,420693/42445168/7956.044/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0513,1.9040,1.9040,nan,nan,0.2412,0.0005,0.5288,1.5708,0.2481
l2anchor,14,420693/42445168/7956.044/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0422,4.9079,4.9079,nan,nan,0.3194,0.0324,0.4793,1.6435,0.1828
sf3d_only,14,420693/42445168/7956.044/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0482,1.8474,1.8474,nan,nan,0.2255,0.0118,0.5650,1.5555,0.3524
directloss,14,420693/42445168/7956.044/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0492,5.5408,5.5408,nan,nan,0.2954,0.0211,0.4749,1.6184,0.0420
sampledtraj,14,420693/42445168/7956.044/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0607,4.0863,4.0863,nan,nan,0.0765,0.0244,0.5804,1.4089,1.0020
dense,15,420693/42445168/7956.144/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0540,3.9801,3.9801,nan,nan,0.2195,0.0183,0.6610,1.4901,0.1630
l2anchor,15,420693/42445168/7956.144/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0464,5.5320,5.5320,nan,nan,0.3469,0.0120,0.5608,1.6174,0.0971
sf3d_only,15,420693/42445168/7956.144/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0562,6.2188,6.2188,nan,nan,0.2148,0.0084,0.5709,1.4956,0.2982
directloss,15,420693/42445168/7956.144/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0493,5.7699,5.7699,nan,nan,0.2833,0.0052,0.5972,1.5572,0.0893
sampledtraj,15,420693/42445168/7956.144/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0531,4.7704,4.7704,nan,nan,0.1645,0.0036,0.6761,1.4479,0.9628
dense,16,420693/42445168/7956.244/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0494,2.9666,2.9666,nan,nan,0.4326,0.0164,0.6273,1.6195,0.2225
l2anchor,16,420693/42445168/7956.244/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0481,3.6898,3.6898,nan,nan,0.3625,0.0227,0.5861,1.5753,0.1380
sf3d_only,16,420693/42445168/7956.244/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0480,4.7222,4.7222,nan,nan,0.3418,0.0278,0.5409,1.5356,0.3214
directloss,16,420693/42445168/7956.244/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0484,7.5598,7.5598,nan,nan,0.4504,0.0226,0.5253,1.6355,0.0923
sampledtraj,16,420693/42445168/7956.244/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0546,6.4853,6.4853,nan,nan,0.2888,0.0172,0.5779,1.5077,1.0004
dense,17,420693/42445168/7983.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0429,9.3806,9.3806,nan,nan,0.2464,0.0199,0.2596,1.3608,0.2005
l2anchor,17,420693/42445168/7983.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0542,17.9305,17.9305,nan,nan,0.2886,0.0151,0.2590,1.4042,0.2861
sf3d_only,17,420693/42445168/7983.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0529,12.1440,12.1440,nan,nan,0.0348,0.0078,0.3593,1.1711,0.1243
directloss,17,420693/42445168/7983.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0448,8.0623,8.0623,nan,nan,0.3500,0.0084,0.2734,1.4677,0.0993
sampledtraj,17,420693/42445168/7983.450/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0480,8.1906,8.1906,nan,nan,0.3028,0.0127,0.3992,1.4198,0.1869
dense,18,420693/42445168/7983.550/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0445,10.1616,10.1616,nan,nan,0.3216,0.0232,0.2224,1.4373,0.2062
l2anchor,18,420693/42445168/7983.550/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0577,18.4443,18.4443,nan,nan,0.2847,0.0164,0.2124,1.4094,0.2610
sf3d_only,18,420693/42445168/7983.550/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0549,13.9071,13.9071,nan,nan,0.0215,0.0116,0.2782,1.1598,0.1374
directloss,18,420693/42445168/7983.550/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0453,7.4708,7.4708,nan,nan,0.5094,0.0094,0.2096,1.6220,0.0975
sampledtraj,18,420693/42445168/7983.550/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0442,15.9755,15.9755,nan,nan,0.2327,0.0197,0.3429,1.3599,0.2185
dense,19,420693/42445168/7983.650/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0569,3.0492,3.0492,nan,nan,0.3606,0.0548,0.0000,1.4712,0.2550
l2anchor,19,420693/42445168/7983.650/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0511,18.6278,18.6278,nan,nan,0.3624,0.0181,0.2046,1.4918,0.2353
sf3d_only,19,420693/42445168/7983.650/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0502,13.7961,13.7961,nan,nan,0.0192,0.0072,0.4024,1.1701,0.1235
directloss,19,420693/42445168/7983.650/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0426,4.9448,4.9448,nan,nan,0.4432,0.0179,0.1583,1.5804,0.0827
sampledtraj,19,420693/42445168/7983.650/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0471,9.2720,9.2720,nan,nan,0.1602,0.0626,0.2356,1.2694,0.2639
dense,20,420693/42445168/7983.750/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0427,2.0760,2.0760,nan,nan,0.3032,0.0243,0.0211,1.4393,0.2292
l2anchor,20,420693/42445168/7983.750/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0564,16.1317,16.1317,nan,nan,0.4609,0.0197,0.2845,1.5957,0.1958
sf3d_only,20,420693/42445168/7983.750/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0513,9.0719,9.0719,nan,nan,0.1010,0.0108,0.3219,1.2531,0.1097
directloss,20,420693/42445168/7983.750/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0421,0.4740,0.4740,nan,nan,0.5153,0.0347,0.0936,1.6645,0.1405
sampledtraj,20,420693/42445168/7983.750/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0491,1.1290,1.1290,nan,nan,0.2870,0.0562,0.3939,1.4064,0.2494
dense,21,420693/42445168/7983.850/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0423,0.6183,0.6183,nan,nan,0.2874,0.0487,0.0133,1.4138,0.2556
l2anchor,21,420693/42445168/7983.850/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0444,7.0834,7.0834,nan,nan,0.3546,0.0196,0.2157,1.4926,0.2090
sf3d_only,21,420693/42445168/7983.850/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0497,10.7958,10.7958,nan,nan,0.0511,0.0145,0.3076,1.1985,0.1050
directloss,21,420693/42445168/7983.850/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0455,2.6271,2.6271,nan,nan,0.3701,0.0084,0.2037,1.5153,0.1343
sampledtraj,21,420693/42445168/7983.850/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0436,7.4988,7.4988,nan,nan,0.2550,0.0238,0.2615,1.3939,0.2403
dense,22,420693/42445168/7983.850/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0506,6.9643,6.9643,nan,nan,0.2735,0.0172,0.5868,1.2823,0.0781
l2anchor,22,420693/42445168/7983.850/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0460,5.7793,5.7793,nan,nan,0.2905,0.0209,0.6045,1.2966,0.2101
sf3d_only,22,420693/42445168/7983.850/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0516,4.5108,4.5108,nan,nan,0.2646,0.0406,0.6798,1.2759,0.2027
directloss,22,420693/42445168/7983.850/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0486,6.6236,6.6236,nan,nan,0.2554,0.0395,0.6429,1.2687,0.2602
sampledtraj,22,420693/42445168/7983.850/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0495,7.6206,7.6206,nan,nan,0.2086,0.0561,0.4714,1.2223,0.9054
dense,23,420693/42445168/7983.950/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0428,4.3413,4.3413,nan,nan,0.2013,0.0328,0.0000,1.3461,0.2758
l2anchor,23,420693/42445168/7983.950/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0450,3.7227,3.7227,nan,nan,0.3413,0.0126,0.2428,1.4885,0.1998
sf3d_only,23,420693/42445168/7983.950/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0476,9.8404,9.8404,nan,nan,0.0645,0.0141,0.3166,1.2160,0.0993
directloss,23,420693/42445168/7983.950/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0457,2.3321,2.3321,nan,nan,0.3680,0.0561,0.1426,1.5243,0.1214
sampledtraj,23,420693/42445168/7983.950/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0485,3.9100,3.9100,nan,nan,0.3197,0.0109,0.4175,1.4686,0.1856
dense,24,420693/42445168/7983.950/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0514,7.6806,7.6806,nan,nan,0.2779,0.0072,0.5777,1.2846,0.1100
l2anchor,24,420693/42445168/7983.950/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0469,7.5155,7.5155,nan,nan,0.2636,0.0062,0.6205,1.2720,0.1390
sf3d_only,24,420693/42445168/7983.950/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0507,4.6708,4.6708,nan,nan,0.2096,0.0398,0.6788,1.2265,0.1721
directloss,24,420693/42445168/7983.950/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0482,7.0668,7.0668,nan,nan,0.2204,0.0309,0.5712,1.2363,0.2453
sampledtraj,24,420693/42445168/7983.950/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0518,8.9379,8.9379,nan,nan,0.1685,0.0447,0.4505,1.1856,0.8869
dense,25,420693/42445168/7984.050/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0430,2.7785,2.7785,nan,nan,0.1742,0.0427,0.0882,1.3238,0.1906
l2anchor,25,420693/42445168/7984.050/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0410,7.7084,7.7084,nan,nan,0.3125,0.0122,0.3358,1.4605,0.1905
sf3d_only,25,420693/42445168/7984.050/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0489,12.9744,12.9744,nan,nan,0.0675,0.0089,0.5178,1.2202,0.0993
directloss,25,420693/42445168/7984.050/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0464,4.4749,4.4749,nan,nan,0.4093,0.0698,0.2756,1.5638,0.0975
sampledtraj,25,420693/42445168/7984.050/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0475,4.4824,4.4824,nan,nan,0.2737,0.0125,0.4694,1.4226,0.2258
dense,26,420693/42445168/7984.050/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0516,6.6272,6.6272,nan,nan,0.2555,0.0387,0.6108,1.2748,0.1489
l2anchor,26,420693/42445168/7984.050/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0445,6.4866,6.4866,nan,nan,0.2533,0.0116,0.6920,1.2661,0.1289
sf3d_only,26,420693/42445168/7984.050/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0508,4.0041,4.0041,nan,nan,0.2528,0.0292,0.6979,1.2686,0.2088
directloss,26,420693/42445168/7984.050/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0478,6.1542,6.1542,nan,nan,0.2251,0.0363,0.6142,1.2444,0.2284
sampledtraj,26,420693/42445168/7984.050/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0529,6.8634,6.8634,nan,nan,0.1635,0.0343,0.5293,1.1822,0.8857
dense,27,420693/42445168/7984.150/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0433,5.4684,5.4684,nan,nan,0.1556,0.0855,0.0000,1.2672,0.1617
l2anchor,27,420693/42445168/7984.150/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0396,9.2967,9.2967,nan,nan,0.1927,0.0197,0.4180,1.3380,0.1828
sf3d_only,27,420693/42445168/7984.150/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0487,12.6538,12.6538,nan,nan,0.0437,0.0090,0.4093,1.1926,0.0955
directloss,27,420693/42445168/7984.150/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0510,1.6106,1.6106,nan,nan,0.4108,0.1595,0.0000,1.5189,0.0801
sampledtraj,27,420693/42445168/7984.150/88f94051-70d3-4070-914c-a7e4e85d9494,0,0,0.0487,2.9846,2.9846,nan,nan,0.3157,0.0101,0.4228,1.4637,0.2019
dense,28,420693/42445168/7984.150/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0520,6.8005,6.8005,nan,nan,0.2358,0.0097,0.6485,1.2523,0.1492
l2anchor,28,420693/42445168/7984.150/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0455,7.2607,7.2607,nan,nan,0.2320,0.0102,0.6234,1.2431,0.1167
sf3d_only,28,420693/42445168/7984.150/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0510,5.1616,5.1616,nan,nan,0.2409,0.0120,0.6296,1.2552,0.2202
directloss,28,420693/42445168/7984.150/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0492,5.8502,5.8502,nan,nan,0.1956,0.0254,0.5249,1.2136,0.1772
sampledtraj,28,420693/42445168/7984.150/a36b3f7b-da1a-43de-bf7f-66853430701a,0,0,0.0541,7.6113,7.6113,nan,nan,0.1270,0.0120,0.5138,1.1443,0.8472
