model,source,key,gt_type,p_rev,type_ok,point_err,end_err,disp_err,gt_len,mask_iou
noproj,hoi4d,ZY20210800001_H1_C14_N25/S367_s01_T2_w0_f050,1,0.9455,1,0.00160,0.11959,0.11957,0.16328,0.8381
dense,hoi4d,ZY20210800001_H1_C14_N25/S367_s01_T2_w0_f050,1,0.9468,1,0.01129,0.01355,0.01521,0.16328,0.8320
sf3d_only,hoi4d,ZY20210800001_H1_C14_N26/S333_s01_T1_w0_f069,1,0.0382,0,0.26042,0.51788,0.27151,0.06633,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N26/S333_s01_T1_w0_f069,1,0.9466,1,0.00640,0.08048,0.08152,0.06633,0.8324
dense,hoi4d,ZY20210800001_H1_C14_N26/S333_s01_T1_w0_f069,1,0.9246,1,0.00374,0.02118,0.02471,0.06633,0.7801
sf3d_only,hoi4d,ZY20210800001_H1_C14_N26/S333_s01_T1_w1_f105,1,0.0372,0,0.06451,0.24991,0.19957,0.04342,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N26/S333_s01_T1_w1_f105,1,0.9403,1,0.00400,0.06252,0.06024,0.04342,0.4025
dense,hoi4d,ZY20210800001_H1_C14_N26/S333_s01_T1_w1_f105,1,0.9514,1,0.01116,0.01549,0.02555,0.04342,0.2685
sf3d_only,hoi4d,ZY20210800001_H1_C14_N26/S333_s01_T1_w2_f207,1,0.0533,0,0.32911,0.67041,0.40176,0.05687,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N26/S333_s01_T1_w2_f207,1,0.9507,1,0.00849,0.16197,0.15351,0.05687,0.8486
dense,hoi4d,ZY20210800001_H1_C14_N26/S333_s01_T1_w2_f207,1,0.9293,1,0.01794,0.01857,0.03017,0.05687,0.8212
sf3d_only,hoi4d,ZY20210800001_H1_C14_N26/S333_s01_T1_w3_f237,1,0.0457,0,0.35164,0.52685,0.23159,0.03607,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N26/S333_s01_T1_w3_f237,1,0.9265,1,0.01275,0.05671,0.04474,0.03607,0.2857
dense,hoi4d,ZY20210800001_H1_C14_N26/S333_s01_T1_w3_f237,1,0.8859,1,0.01460,0.00240,0.01409,0.03607,0.2700
sf3d_only,hoi4d,ZY20210800001_H1_C14_N26/S333_s02_T2_w0_f060,1,0.0621,0,0.21872,0.44929,0.33399,0.04740,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N26/S333_s02_T2_w0_f060,1,0.9452,1,0.00871,0.15142,0.14313,0.04740,0.7980
dense,hoi4d,ZY20210800001_H1_C14_N26/S333_s02_T2_w0_f060,1,0.9095,1,0.00766,0.02374,0.01628,0.04740,0.6975
sf3d_only,hoi4d,ZY20210800001_H1_C14_N26/S333_s02_T2_w1_f087,1,0.0439,0,0.21690,0.28764,0.20536,0.04100,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N26/S333_s02_T2_w1_f087,1,0.9368,1,0.01048,0.04207,0.04566,0.04100,0.0106
dense,hoi4d,ZY20210800001_H1_C14_N26/S333_s02_T2_w1_f087,1,0.9157,1,0.00703,0.01024,0.00573,0.04100,0.0208
sf3d_only,hoi4d,ZY20210800001_H1_C14_N26/S333_s02_T2_w2_f176,1,0.0734,0,0.33514,0.40683,0.33273,0.04788,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N26/S333_s02_T2_w2_f176,1,0.9458,1,0.01205,0.13376,0.12181,0.04788,0.8230
dense,hoi4d,ZY20210800001_H1_C14_N26/S333_s02_T2_w2_f176,1,0.9164,1,0.02307,0.02678,0.00916,0.04788,0.7104
sf3d_only,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w0_f051,0,0.0477,1,0.13013,0.19587,0.14663,0.02112,0.0343
noproj,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w0_f051,0,0.0544,1,0.00944,0.10748,0.10220,0.02112,0.8153
dense,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w0_f051,0,0.0851,1,0.01451,0.00959,0.01238,0.02112,0.6680
sf3d_only,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w1_f059,1,0.0476,0,0.15489,0.35753,0.29145,0.11403,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w1_f059,1,0.9459,1,0.01643,0.12080,0.12369,0.11403,0.8161
dense,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w1_f059,1,0.9323,1,0.01081,0.02834,0.02238,0.11403,0.6545
sf3d_only,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w2_f097,1,0.0613,0,0.15968,0.22005,0.10844,0.11692,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w2_f097,1,0.9495,1,0.00863,0.25713,0.25331,0.11692,0.6588
dense,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w2_f097,1,0.9586,1,0.02456,0.01837,0.01879,0.11692,0.4709
sf3d_only,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w3_f201,0,0.0449,1,0.09018,0.15427,0.07653,0.03199,0.1030
noproj,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w3_f201,0,0.0557,1,0.01373,0.32861,0.32380,0.03199,0.8452
dense,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w3_f201,0,0.0635,1,0.00689,0.00709,0.00937,0.03199,0.7264
sf3d_only,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w4_f209,1,0.0515,0,0.15333,0.33615,0.27137,0.12250,0.0911
noproj,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w4_f209,1,0.9454,1,0.01022,0.12630,0.12369,0.12250,0.8951
dense,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w4_f209,1,0.9399,1,0.01808,0.01512,0.00798,0.12250,0.7699
sf3d_only,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w5_f241,1,0.0436,0,0.13300,0.17310,0.07114,0.10926,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w5_f241,1,0.9544,1,0.00422,0.18206,0.18337,0.10926,0.6521
dense,hoi4d,ZY20210800001_H1_C14_N31/S155_s02_T1_w5_f241,1,0.9335,1,0.03988,0.03041,0.00992,0.10926,0.4345
sf3d_only,hoi4d,ZY20210800001_H1_C14_N31/S207_s02_T2_w0_f067,1,0.0474,0,0.24575,0.08986,0.31213,0.07841,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N31/S207_s02_T2_w0_f067,1,0.9451,1,0.01466,0.09887,0.09734,0.07841,0.7129
dense,hoi4d,ZY20210800001_H1_C14_N31/S207_s02_T2_w0_f067,1,0.9230,1,0.00643,0.02586,0.03043,0.07841,0.6555
sf3d_only,hoi4d,ZY20210800001_H1_C14_N31/S207_s02_T2_w1_f092,1,0.0404,0,0.15207,0.15701,0.00589,0.09781,0.1000
noproj,hoi4d,ZY20210800001_H1_C14_N31/S207_s02_T2_w1_f092,1,0.9381,1,0.00774,0.12594,0.12289,0.09781,0.3935
dense,hoi4d,ZY20210800001_H1_C14_N31/S207_s02_T2_w1_f092,1,0.9487,1,0.01691,0.03525,0.03643,0.09781,0.4019
sf3d_only,hoi4d,ZY20210800001_H1_C14_N31/S207_s02_T2_w2_f184,1,0.6615,1,0.15714,0.52471,0.37534,0.09341,0.0258
noproj,hoi4d,ZY20210800001_H1_C14_N31/S207_s02_T2_w2_f184,1,0.9503,1,0.01982,0.20609,0.18662,0.09341,0.7431
dense,hoi4d,ZY20210800001_H1_C14_N31/S207_s02_T2_w2_f184,1,0.9414,1,0.01451,0.02906,0.01812,0.09341,0.6090
sf3d_only,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w0_f039,0,0.0467,1,0.20626,0.10857,0.13479,0.01594,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w0_f039,0,0.0550,1,0.00943,0.21160,0.20574,0.01594,0.8773
dense,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w0_f039,0,0.0619,1,0.01089,0.01643,0.00714,0.01594,0.7474
sf3d_only,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w1_f047,1,0.0483,0,0.10902,0.43503,0.42309,0.25068,0.0046
noproj,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w1_f047,1,0.9404,1,0.01164,0.24327,0.24615,0.25068,0.8566
dense,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w1_f047,1,0.9520,1,0.01314,0.06018,0.05004,0.25068,0.7217
sf3d_only,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w2_f085,1,0.0413,0,0.23066,0.12877,0.10211,0.21977,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w2_f085,1,0.9440,1,0.00712,0.24027,0.24739,0.21977,0.7626
dense,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w2_f085,1,0.9511,1,0.03776,0.04628,0.05298,0.21977,0.5940
sf3d_only,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w3_f190,1,0.0497,0,0.13643,0.45647,0.41592,0.24527,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w3_f190,1,0.9395,1,0.00972,0.25455,0.25788,0.24527,0.8694
dense,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w3_f190,1,0.9428,1,0.00998,0.07569,0.07162,0.24527,0.7731
sf3d_only,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w4_f222,1,0.0433,0,0.28199,0.12308,0.15899,0.26869,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w4_f222,1,0.9421,1,0.00794,0.28712,0.29341,0.26869,0.8036
dense,hoi4d,ZY20210800001_H1_C14_N39/S155_s04_T1_w4_f222,1,0.9515,1,0.02290,0.08122,0.08066,0.26869,0.5970
sf3d_only,hoi4d,ZY20210800001_H1_C14_N39/S207_s04_T2_w0_f044,0,0.0450,1,0.07478,0.26829,0.21821,0.01821,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N39/S207_s04_T2_w0_f044,0,0.0510,1,0.00329,0.18559,0.18452,0.01821,0.8776
dense,hoi4d,ZY20210800001_H1_C14_N39/S207_s04_T2_w0_f044,0,0.0532,1,0.00702,0.01108,0.01547,0.01821,0.5890
sf3d_only,hoi4d,ZY20210800001_H1_C14_N39/S207_s04_T2_w1_f051,1,0.0545,0,0.09174,0.49745,0.41350,0.24182,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N39/S207_s04_T2_w1_f051,1,0.9471,1,0.00990,0.19142,0.19793,0.24182,0.8621
dense,hoi4d,ZY20210800001_H1_C14_N39/S207_s04_T2_w1_f051,1,0.9483,1,0.00306,0.07678,0.07755,0.24182,0.7675
sf3d_only,hoi4d,ZY20210800001_H1_C14_N39/S207_s04_T2_w2_f076,1,0.0539,0,0.35210,0.17907,0.17340,0.24837,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N39/S207_s04_T2_w2_f076,1,0.9444,1,0.00375,0.27422,0.27232,0.24837,0.8014
dense,hoi4d,ZY20210800001_H1_C14_N39/S207_s04_T2_w2_f076,1,0.9711,1,0.00399,0.08282,0.08237,0.24837,0.6756
sf3d_only,hoi4d,ZY20210800001_H1_C14_N39/S207_s04_T2_w3_f160,1,0.0480,0,0.09239,0.47885,0.39291,0.22396,0.0000
noproj,hoi4d,ZY20210800001_H1_C14_N39/S207_s04_T2_w3_f160,1,0.9424,1,0.00540,0.20734,0.21198,0.22396,0.8422
dense,hoi4d,ZY20210800001_H1_C14_N39/S207_s04_T2_w3_f160,1,0.9484,1,0.00778,0.01505,0.01056,0.22396,0.7397
sf3d_only,hoi4d,ZY20210800001_H1_C17_N21/S159_s03_T3_w2_f109,0,0.0380,1,0.17854,0.06531,0.19993,0.03320,0.0000
noproj,hoi4d,ZY20210800001_H1_C17_N21/S159_s03_T3_w2_f109,0,0.0540,1,0.01809,0.13464,0.15273,0.03320,0.2902
dense,hoi4d,ZY20210800001_H1_C17_N21/S159_s03_T3_w2_f109,0,0.0490,1,0.00958,0.00947,0.00753,0.03320,0.5341
sf3d_only,hoi4d,ZY20210800001_H1_C17_N21/S159_s03_T3_w8_f246,0,0.0393,1,0.21616,0.29154,0.07568,0.05720,0.0000
noproj,hoi4d,ZY20210800001_H1_C17_N21/S159_s03_T3_w8_f246,0,0.0541,1,0.01286,0.10898,0.10420,0.05720,0.7216
dense,hoi4d,ZY20210800001_H1_C17_N21/S159_s03_T3_w8_f246,0,0.0492,1,0.01459,0.01996,0.02087,0.05720,0.6272
sf3d_only,hoi4d,ZY20210800001_H1_C17_N23/S159_s03_T3_w2_f112,0,0.0440,1,0.44719,0.40395,0.04430,0.09052,0.0000
noproj,hoi4d,ZY20210800001_H1_C17_N23/S159_s03_T3_w2_f112,0,0.0527,1,0.00603,0.20275,0.19682,0.09052,0.0000
dense,hoi4d,ZY20210800001_H1_C17_N23/S159_s03_T3_w2_f112,0,0.0461,1,0.02174,0.03953,0.01860,0.09052,0.0000
sf3d_only,hoi4d,ZY20210800001_H1_C17_N23/S159_s03_T3_w6_f233,0,0.0391,1,0.27346,0.19043,0.12373,0.08703,0.0000
noproj,hoi4d,ZY20210800001_H1_C17_N23/S159_s03_T3_w6_f233,0,0.0543,1,0.00822,0.12361,0.11541,0.08703,0.7642
dense,hoi4d,ZY20210800001_H1_C17_N23/S159_s03_T3_w6_f233,0,0.0510,1,0.02439,0.02397,0.00893,0.08703,0.6716
sf3d_only,hoi4d,ZY20210800001_H1_C17_N59/S266_s02_T3_w2_f117,0,0.0385,1,0.32990,0.28792,0.10515,0.02881,0.0000
noproj,hoi4d,ZY20210800001_H1_C17_N59/S266_s02_T3_w2_f117,0,0.0494,1,0.00641,0.15168,0.15227,0.02881,0.3120
dense,hoi4d,ZY20210800001_H1_C17_N59/S266_s02_T3_w2_f117,0,0.0479,1,0.00893,0.02004,0.01440,0.02881,0.2642
sf3d_only,hoi4d,ZY20210800001_H1_C17_N59/S266_s02_T3_w7_f261,0,0.0446,1,0.31358,0.26473,0.04968,0.01378,0.0000
noproj,hoi4d,ZY20210800001_H1_C17_N59/S266_s02_T3_w7_f261,0,0.0494,1,0.00469,0.15641,0.15398,0.01378,0.5993
dense,hoi4d,ZY20210800001_H1_C17_N59/S266_s02_T3_w7_f261,0,0.0520,1,0.01708,0.01380,0.01003,0.01378,0.4823
sf3d_only,hoi4d,ZY20210800001_H1_C17_N62/S264_s03_T2_w1_f082,1,0.4664,0,0.60262,0.81611,0.60984,0.24259,0.0000
noproj,hoi4d,ZY20210800001_H1_C17_N62/S264_s03_T2_w1_f082,1,0.9408,1,0.02274,0.11157,0.09011,0.24259,0.0391
dense,hoi4d,ZY20210800001_H1_C17_N62/S264_s03_T2_w1_f082,1,0.9135,1,0.02060,0.10179,0.12211,0.24259,0.0014
sf3d_only,hoi4d,ZY20210800001_H1_C17_N62/S264_s03_T2_w2_f108,1,0.1324,0,0.42789,0.74195,0.34633,0.25221,0.0000
noproj,hoi4d,ZY20210800001_H1_C17_N62/S264_s03_T2_w2_f108,1,0.9446,1,0.01347,0.22372,0.21666,0.25221,0.3706
dense,hoi4d,ZY20210800001_H1_C17_N62/S264_s03_T2_w2_f108,1,0.9626,1,0.01061,0.07565,0.06688,0.25221,0.0281
sf3d_only,hoi4d,ZY20210800001_H1_C17_N62/S264_s03_T2_w5_f219,1,0.3361,0,0.42180,0.64874,0.62378,0.26393,0.0000
noproj,hoi4d,ZY20210800001_H1_C17_N62/S264_s03_T2_w5_f219,1,0.9394,1,0.00944,0.09832,0.10081,0.26393,0.0122
dense,hoi4d,ZY20210800001_H1_C17_N62/S264_s03_T2_w5_f219,1,0.9459,1,0.00784,0.05910,0.05509,0.26393,0.0147
sf3d_only,hoi4d,ZY20210800001_H1_C17_N62/S264_s03_T2_w6_f239,1,0.1769,0,0.27789,0.53622,0.33068,0.22577,0.0000
noproj,hoi4d,ZY20210800001_H1_C17_N62/S264_s03_T2_w6_f239,1,0.9454,1,0.00848,0.18135,0.18426,0.22577,0.1465
dense,hoi4d,ZY20210800001_H1_C17_N62/S264_s03_T2_w6_f239,1,0.9691,1,0.02194,0.01897,0.01477,0.22577,0.0513
sf3d_only,hoi4d,ZY20210800001_H1_C17_N62/S266_s03_T3_w2_f125,0,0.0427,1,0.36455,0.36415,0.12099,0.06445,0.0000
noproj,hoi4d,ZY20210800001_H1_C17_N62/S266_s03_T3_w2_f125,0,0.0490,1,0.01139,0.15471,0.14480,0.06445,0.6759
dense,hoi4d,ZY20210800001_H1_C17_N62/S266_s03_T3_w2_f125,0,0.0521,1,0.00324,0.01469,0.01783,0.06445,0.5267
sf3d_only,hoi4d,ZY20210800001_H1_C17_N63/S264_s04_T2_w1_f064,1,0.2503,0,0.34916,0.66859,0.63503,0.28299,0.0000
noproj,hoi4d,ZY20210800001_H1_C17_N63/S264_s04_T2_w1_f064,1,0.9437,1,0.00706,0.14949,0.14302,0.28299,0.0368
dense,hoi4d,ZY20210800001_H1_C17_N63/S264_s04_T2_w1_f064,1,0.9542,1,0.01795,0.04155,0.02982,0.28299,0.0137
sf3d_only,hoi4d,ZY20210800001_H1_C17_N63/S264_s04_T2_w2_f098,1,0.0654,0,0.51878,0.82323,0.39476,0.14435,0.0000
noproj,hoi4d,ZY20210800001_H1_C17_N63/S264_s04_T2_w2_f098,1,0.9456,1,0.01572,0.29382,0.30918,0.14435,0.7762
dense,hoi4d,ZY20210800001_H1_C17_N63/S264_s04_T2_w2_f098,1,0.9645,1,0.00306,0.04347,0.04230,0.14435,0.2204
sf3d_only,hoi4d,ZY20210800001_H1_C17_N63/S264_s04_T2_w5_f211,1,0.2872,0,0.39180,0.74654,0.66451,0.21715,0.0000
noproj,hoi4d,ZY20210800001_H1_C17_N63/S264_s04_T2_w5_f211,1,0.9479,1,0.01098,0.09379,0.08348,0.21715,0.0055
dense,hoi4d,ZY20210800001_H1_C17_N63/S264_s04_T2_w5_f211,1,0.9546,1,0.01835,0.02924,0.02963,0.21715,0.0942
sf3d_only,hoi4d,ZY20210800001_H1_C17_N63/S264_s04_T2_w6_f236,1,0.0762,0,0.32967,0.47544,0.41722,0.16317,0.0000
noproj,hoi4d,ZY20210800001_H1_C17_N63/S264_s04_T2_w6_f236,1,0.9456,1,0.31640,0.45222,0.17289,0.16317,0.7229
dense,hoi4d,ZY20210800001_H1_C17_N63/S264_s04_T2_w6_f236,1,0.9647,1,0.33643,0.25357,0.08286,0.16317,0.5244
sf3d_only,hoi4d,ZY20210800001_H1_C17_N71/S266_s01_T2_w1_f067,1,0.4228,0,0.34955,0.28998,0.44730,0.33596,0.0000
noproj,hoi4d,ZY20210800001_H1_C17_N71/S266_s01_T2_w1_f067,1,0.9479,1,0.00707,0.10306,0.09599,0.33596,0.5287
dense,hoi4d,ZY20210800001_H1_C17_N71/S266_s01_T2_w1_f067,1,0.9434,1,0.00699,0.09363,0.09002,0.33596,0.0453
sf3d_only,hoi4d,ZY20210800001_H1_C17_N71/S266_s01_T2_w2_f096,1,0.0827,0,0.51585,0.82500,0.38385,0.29323,0.0000
noproj,hoi4d,ZY20210800001_H1_C17_N71/S266_s01_T2_w2_f096,1,0.9496,1,0.02394,0.18377,0.19636,0.29323,0.7434
dense,hoi4d,ZY20210800001_H1_C17_N71/S266_s01_T2_w2_f096,1,0.9692,1,0.02779,0.05195,0.02447,0.29323,0.3333
sf3d_only,hoi4d,ZY20210800001_H1_C17_N71/S266_s01_T2_w5_f204,1,0.2763,0,0.59242,0.73422,0.59566,0.25431,0.0000
noproj,hoi4d,ZY20210800001_H1_C17_N71/S266_s01_T2_w5_f204,1,0.9354,1,0.00853,0.12003,0.11224,0.25431,0.7550
dense,hoi4d,ZY20210800001_H1_C17_N71/S266_s01_T2_w5_f204,1,0.9396,1,0.00734,0.02721,0.03086,0.25431,0.6614
sf3d_only,hoi4d,ZY20210800001_H1_C17_N71/S266_s01_T2_w6_f229,1,0.1380,0,0.39869,0.37409,0.30013,0.24409,0.0000
noproj,hoi4d,ZY20210800001_H1_C17_N71/S266_s01_T2_w6_f229,1,0.9468,1,0.01002,0.24712,0.25586,0.24409,0.3666
dense,hoi4d,ZY20210800001_H1_C17_N71/S266_s01_T2_w6_f229,1,0.9691,1,0.00269,0.07686,0.07449,0.24409,0.1923
sf3d_only,hoi4d,ZY20210800001_H1_C1_N19/S100_s02_T2_w2_f086,0,0.0770,1,0.28687,0.69517,0.53217,0.01621,0.0000
noproj,hoi4d,ZY20210800001_H1_C1_N19/S100_s02_T2_w2_f086,0,0.0424,1,0.00876,0.56937,0.56087,0.01621,0.6504
dense,hoi4d,ZY20210800001_H1_C1_N19/S100_s02_T2_w2_f086,0,0.0790,1,0.01971,0.03971,0.02037,0.01621,0.4416
sf3d_only,hoi4d,ZY20210800001_H1_C1_N19/S100_s02_T2_w3_f096,0,0.0486,1,0.05546,0.51512,0.45966,0.03736,0.0000
noproj,hoi4d,ZY20210800001_H1_C1_N19/S100_s02_T2_w3_f096,0,0.0502,1,0.00838,0.25651,0.25658,0.03736,0.8254
dense,hoi4d,ZY20210800001_H1_C1_N19/S100_s02_T2_w3_f096,0,0.0512,1,0.01737,0.03651,0.03005,0.03736,0.6778
sf3d_only,hoi4d,ZY20210800001_H1_C1_N19/S100_s02_T2_w4_f122,0,0.0968,1,0.29307,0.47914,0.26712,0.02398,0.0000
noproj,hoi4d,ZY20210800001_H1_C1_N19/S100_s02_T2_w4_f122,0,0.0520,1,0.00161,0.10755,0.10858,0.02398,0.6720
dense,hoi4d,ZY20210800001_H1_C1_N19/S100_s02_T2_w4_f122,0,0.0507,1,0.00583,0.00654,0.01155,0.02398,0.5188
sf3d_only,hoi4d,ZY20210800001_H1_C1_N19/S100_s02_T2_w5_f132,0,0.0602,1,0.21473,0.21605,0.16798,0.01117,0.0000
noproj,hoi4d,ZY20210800001_H1_C1_N19/S100_s02_T2_w5_f132,0,0.0510,1,0.00980,0.12947,0.12356,0.01117,0.6518
dense,hoi4d,ZY20210800001_H1_C1_N19/S100_s02_T2_w5_f132,0,0.0531,1,0.00667,0.01106,0.01772,0.01117,0.6090
sf3d_only,hoi4d,ZY20210800001_H1_C1_N33/S100_s05_T2_w2_f079,0,0.0668,1,0.29508,0.53053,0.37344,0.02549,0.0000
noproj,hoi4d,ZY20210800001_H1_C1_N33/S100_s05_T2_w2_f079,0,0.0522,1,0.01327,0.25827,0.24961,0.02549,0.5338
dense,hoi4d,ZY20210800001_H1_C1_N33/S100_s05_T2_w2_f079,0,0.0483,1,0.01236,0.02735,0.01682,0.02549,0.6660
sf3d_only,hoi4d,ZY20210800001_H1_C1_N33/S100_s05_T2_w3_f091,0,0.0687,1,0.34366,0.47195,0.27062,0.03045,0.0000
noproj,hoi4d,ZY20210800001_H1_C1_N33/S100_s05_T2_w3_f091,0,0.0517,1,0.01256,0.05754,0.05573,0.03045,0.7483
dense,hoi4d,ZY20210800001_H1_C1_N33/S100_s05_T2_w3_f091,0,0.0500,1,0.01236,0.03308,0.02423,0.03045,0.6628
sf3d_only,hoi4d,ZY20210800001_H1_C1_N33/S100_s05_T2_w4_f116,0,0.0675,1,0.31783,0.48683,0.29610,0.06093,0.0000
